"ISO3","Year","Arrangement.Number","Country.Name","MONA.Code","Arrangement.Type","Approval.date","Initial.End.Date","Initial.End.Year","Revised.End.Date","Duration.Of.Annual.Arrangement.From","Duration.Of.Annual.Arrangement.To","Board.Action.Date","Program.Type","Review.Type","Review.Status","Key.Code","Economic.Code","Economic.Descriptor","Description","Description.Code","Test.Date","PC.Status","Comments","Sort","EsOrder","NewTestDate","Added.At","Assessed.At","Unique.ID","Parent.ID","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","unsc","unsc_t1","unsc3"
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","MINECOFIN to publish (and put on its website) quarterly reports of budget execution against annual fiscal policy objectives, within 45 days of end of each quarter.",2,"06/30/2015","NM","At R4, not met.",10,2,"30-Jun-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","MINECOFIN to publish (and put on its website) quarterly reports of budget execution against annual fiscal policy objectives, within 45 days of end of each quarter.",2,"12/31/2015","MD",NA,10,2,"31-Dec-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","MINECOFIN to publish (and put on its website) quarterly reports of budget execution against annual fiscal policy objectives, within 45 days of end of each quarter.",2,"03/31/2016","MD","At R4, new test date. At R5, implemented with delay.",10,2,"31-Mar-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","MINECOFIN to publish (and put on its website) quarterly reports of budget execution against annual fiscal policy objectives, within 45 days of end of each quarter.",2,"Quarterly","SB","Introduced at R1. Continuous starting mid-May 2014. Macroeconomic rationale: To improve fiscal transparency",10,2,"27-Jun-26",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Publish quarterly reports of budget execution against annual fiscal policy objectives, within 60 days of end of each quarter, initially excluding foreign-financed projects.",3,"Continuous","SB","Introduced at R4. Continuous, starting Q4 2015. Macroeconomic rationale: To improve accounting, transparency and accountability.",10,3,"27-Jun-26",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Provide quarterly revenues, expenditures, and financing estimates for the budgetary central government levels within 60 days of the end of each quarter.",4,"09/30/2016","M","Met at R6 for PSI (R1 for SCF). Quarterly.",10,4,"30-Sep-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Provide quarterly revenues, expenditures, and financing estimates for the budgetary central government levels within 60 days of the end of each quarter.",4,"Continuous","SB","Met at R6 for PSI (R1 for SCF). Quarterly.",10,4,"27-Jun-26",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Begin publishing in GFS 2014 format for the quarter ending September 2018..",5,"12/01/2018","M","Introduced at R8 for R10.",10,5,"1-Dec-18",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.8,"1.8. Budget preparation (e.g., submission or approval)","Prepare tax expenditure budget covering main tax expenditures.",1,"06/30/2014","M","Annually, starting end-June 2014. Met for R2.",10,1,"30-Jun-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.8,"1.8. Budget preparation (e.g., submission or approval)","Prepare tax expenditure budget covering main tax expenditures.",1,"06/30/2015","SB","Annually starting in June 2014.",10,1,"30-Jun-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.8,"1.8. Budget preparation (e.g., submission or approval)","Prepare tax expenditure budget covering main tax expenditures.",1,"Other","SB","Introduced at R0. Annually starting end-June 2014. Macroeconomic rationale: to enhance revenue mobilization.",10,1,"27-Jun-26",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",21.1,"2.1. Central bank operations and reforms","Prepare plan, based on MCM TA recommendations and NBR assessment, for strengthening monetary and exchange rate operations.",1,"03/31/2014","M","Introduced at R0. Macroeconomic rationale: to strengthen monetary and exchange rate operations and foster greater exchange rate (flexibility). At R1, met.",10,1,"31-Mar-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",21.1,"2.1. Central bank operations and reforms","Use Treasury bills (or other tradable securities) as the underlying collateral in liquidity absorbing repos.",2,"06/30/2014","M","Introduced at R0. Macroeconomic rationale: to develop money market instruments.",10,2,"30-Jun-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",21.1,"2.1. Central bank operations and reforms","Issue Treasury bills with maturities of six months and longer as a monetary policy instrument to absorb longer-term liquidity.",3,"12/31/2013","M","Introduced at R0. Macroeconomic rationale: to develop money market instruments. At R1, met.",10,3,"31-Dec-13",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",21.1,"2.1. Central bank operations and reforms","Start publishing money market rates (interbank, repo, and T-bill) for different maturities bi-weekly.",4,"12/31/2013","M","Introduced at R0. Macroeconomic rationale: to develop money market instruments. At R1, met.",10,4,"31-Dec-13",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",21.1,"2.1. Central bank operations and reforms","Start publishing quarterly inflation reports.",5,"03/31/2014","M","Introduced at R0. Macroeconomic rationale: to improve transparency of monetary policy. At R1, met.",10,5,"31-Mar-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare legislative proposal for new tax regime for agriculture.",8,"06/30/2016","SB","This replaces original benchmark of end-December 2015 test date.",10,8,"30-Jun-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare legislative proposal for new tax regime for mining.",4,"12/31/2014","MOD-DATE","Introduced at R0. Macroeconomic rationale: to enhance revenue mobilization. At R2, new test date of end-January 2015 specified.",6,4,"31-Dec-14",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare legislative proposal for new tax regime for mining.",4,"01/31/2015","MOD-DATE","At R2, new test date. At R3, not met. Date changed to end September 2015 as  part of the proposed Income Tax Law.",6,4,"31-Jan-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare legislative proposal for new tax regime for mining.",4,"09/30/2015","M","At R4, met.",6,4,"30-Sep-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Revise law on Decentralized Local government taxes to enable the migration from Land Lease Fees to Fixed Asset Tax.",5,"06/30/2015","M","Macreconomic rationale: To enhance revenue mobilization. At R3, the rationale is now to raise the property tax rate to 0.2 percent.",6,5,"30-Jun-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Fully migrate one district in Kigali from Land Lease Fee to Fixed Asset Tax.",6,"12/31/2015","SB","Macroeconomic rationale: To enhance revenue mobilization. At R3, Property tax legislation will apply countrywide immediately.",6,6,"31-Dec-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare study on new tax regime for agriculture.",7,"12/31/2015","MOD-DATE","Introduced at R3. At R4, new test date specified.",6,7,"31-Dec-15",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare study on new tax regime for agriculture.",7,"03/31/2016","SB","At R4, new test date.",6,7,"31-Mar-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"31-Dec-17",NA,NA,"6-Jan-17","P1","R6","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Prepare legislative proposal for new tax regime for agriculture.",8,"06/30/2016","SB","This replaces original benchmark of end-December 2015 test date.",6,8,"30-Jun-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
"RWA",2013,706,"RWANDA",714,"PSI","2-Dec-13","1-Dec-16",2016,"1-Dec-18",NA,NA,"28-Nov-18","P1","R10","L","SB",25.1,"6.1. Financial sector legal reforms, regulation, and supervision","Define and target a range of excess reserves conducive to developing the interbank market.",5,"12/31/2016","M","Introduced at R5. Met at R7.",10,5,"31-Dec-16",NA,NA,NA,NA,43.260980041775,0.4791,28.2738613218304,0.106275401403098,47.728426891862,47.8347022932651,1,0,1
