"ISO3","Year","unsc","unsc_t1","unsc3","ArrangementID","avgcondtype_all","nrcondtype_all","rohstoff_cond","stabil_cond","rohstoff_cond_share","stabil_cond_share","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","Rohstoffabhaengigkeit"
"CAF",2019,0,0,0,790,0.666666666666667,8,0,6,0,6,50.0658000014868,14.3762,40.3703328528045,0.0113438958450479,4.84862130405419,4.85996519989924,4.85996519989924
"CAF",2020,0,0,0,NA,NA,NA,0,0,0,0,49.5210200011921,13.6393,47.6481324976744,0.0394378095226582,16.7055945931343,16.745032402657,16.745032402657
"CAF",2021,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CAF",2022,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CAF",2023,0,0,0,859,6.76923076923077,88,24,12,24,12,43.480570208358,11.3823,44.2634270780256,0.00634066374558888,12.6689665953919,12.6753072591375,12.6753072591375
"CAF",2024,0,0,0,NA,NA,NA,0,0,0,0,46.4318999802251,12.0915,46.7811591431958,0.0317291209436773,6.31887204148749,6.35060116243117,6.35060116243117
"CAF",2025,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CMR",2002,0,0,0,NA,NA,NA,0,0,0,0,48.4817227279603,7.1519,6.22143057840454,49.1868871430921,4.32423576866907,53.5111229117612,53.5111229117612
"CMR",2003,0,0,0,NA,NA,NA,0,0,0,0,40.2431925894529,3.1607,5.71639891918845,48.803399799567,4.15754299713749,52.9609427967045,52.9609427967045
"CMR",2004,0,0,0,NA,NA,NA,0,0,0,0,41.8377424272557,5.0473,7.76019760785096,46.6846802011435,5.06553789677676,51.7502180979203,51.7502180979203
"CMR",2005,0,0,0,563,17.0833333333333,205,44,95,44,95,44.9976813478478,4.3352,12.5290160988282,56.8647779866486,4.78205402791316,61.6468320145618,61.6468320145618
