"programnr","Arrangement.Number","Country.Name","MONA.Code","ISO3","Approval.Year","arrtype_group","nrquarters","approvaldate","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","nrcondtype_all","avgcondtype_all","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb"
74,577,"GAMBIA, THE",648,"GMB",2007,"PRGF",12,"2007-02-21",117,27,93,237,19.75,9.75,2.25,7.75
74,577,"GAMBIA, THE",648,"GMB",2007,"PRGF",16,"2007-02-21",25,6,30,61,3.8125,1.5625,0.375,1.875
74,577,"GAMBIA, THE",648,"GMB",2007,"PRGF",17,"2007-02-21",25,6,32,63,3.70588235294118,1.47058823529412,0.352941176470588,1.88235294117647
75,578,"BURKINA FASO",748,"BFA",2007,"PRGF",12,"2007-04-23",35,0,129,164,13.6666666666667,2.91666666666667,0,10.75
76,579,"GABON",646,"GAB",2007,"EFF_SBA",12,"2007-05-07",24,18,52,94,7.83333333333333,2,1.5,4.33333333333333
78,588,"IRAQ",433,"IRQ",2007,"EFF_SBA",5,"2007-12-19",15,14,39,68,13.6,3,2.8,7.8
79,589,"GUINEA",656,"GIN",2007,"PRGF",12,"2007-12-21",22,18,19,59,4.91666666666667,1.83333333333333,1.5,1.58333333333333
81,592,"TOGO",742,"TGO",2008,"PRGF",12,"2008-04-21",14,10,72,96,8,1.16666666666667,0.833333333333333,6
81,592,"TOGO",742,"TGO",2008,"PRGF",14,"2008-04-21",6,5,54,65,4.64285714285714,0.428571428571429,0.357142857142857,3.85714285714286
82,593,"MALI",678,"MLI",2008,"PRGF",12,"2008-05-28",33,15,61,109,9.08333333333333,2.75,1.25,5.08333333333333
82,593,"MALI",678,"MLI",2008,"PRGF",14,"2008-05-28",8,4,28,40,2.85714285714286,0.571428571428571,0.285714285714286,2
82,593,"MALI",678,"MLI",2008,"PRGF",15,"2008-05-28",16,8,54,78,5.2,1.06666666666667,0.533333333333333,3.6
83,594,"ZAMBIA",754,"ZMB",2008,"PRGF",12,"2008-06-04",12,0,108,120,10,1,0,9
84,595,"NIGER",692,"NER",2008,"PRGF",12,"2008-06-02",14,0,45,59,4.91666666666667,1.16666666666667,0,3.75
85,596,"BURUNDI",618,"BDI",2008,"PRGF",12,"2008-07-07",27,33,47,107,8.91666666666667,2.25,2.75,3.91666666666667
85,596,"BURUNDI",618,"BDI",2008,"PRGF",13,"2008-07-07",6,7,20,33,2.53846153846154,0.461538461538462,0.538461538461538,1.53846153846154
85,596,"BURUNDI",618,"BDI",2008,"PRGF",14,"2008-07-07",12,14,44,70,5,0.857142857142857,1,3.14285714285714
87,598,"DJIBOUTI",611,"DJI",2008,"PRGF",12,"2008-09-17",4,0,30,34,2.83333333333333,0.333333333333333,0,2.5
87,598,"DJIBOUTI",611,"DJI",2008,"PRGF",15,"2008-09-17",8,12,173,193,12.8666666666667,0.533333333333333,0.8,11.5333333333333
96,607,"CONGO, REPUBLIC OF",634,"COG",2008,"PRGF",11,"2008-12-08",9,1,40,50,4.54545454545455,0.818181818181818,0.0909090909090909,3.63636363636364
96,607,"CONGO, REPUBLIC OF",634,"COG",2008,"PRGF",12,"2008-12-08",43,5,92,140,11.6666666666667,3.58333333333333,0.416666666666667,7.66666666666667
98,609,"EL SALVADOR",253,"SLV",2009,"EFF_SBA",5,"2009-01-16",0,1,2,3,0.6,0,0.2,0.4
99,610,"SAO TOME AND PRINCIPE",716,"STP",2009,"PRGF",12,"2009-03-02",2,5,40,47,3.91666666666667,0.166666666666667,0.416666666666667,3.33333333333333
101,612,"COTE D'IVOIRE",662,"CIV",2009,"PRGF",9,"2009-03-27",0,15,31,46,5.11111111111111,0,1.66666666666667,3.44444444444444
101,612,"COTE D'IVOIRE",662,"CIV",2009,"PRGF",12,"2009-03-27",0,16,30,46,3.83333333333333,0,1.33333333333333,2.5
108,619,"GHANA",652,"GHA",2009,"PRGF",12,"2009-07-15",0,29,147,176,14.6666666666667,0,2.41666666666667,12.25
110,621,"COMOROS",632,"COM",2009,"PRGF",12,"2009-09-21",0,16,47,63,5.25,0,1.33333333333333,3.91666666666667
110,621,"COMOROS",632,"COM",2009,"PRGF",17,"2009-09-21",0,36,155,191,11.2352941176471,0,2.11764705882353,9.11764705882353
112,623,"ANGOLA",614,"AGO",2009,"EFF_SBA",9,"2009-11-23",0,15,75,90,10,0,1.66666666666667,8.33333333333333
112,623,"ANGOLA",614,"AGO",2009,"EFF_SBA",10,"2009-11-23",0,12,68,80,8,0,1.2,6.8
113,625,"CONGO,DEMOCRATIC REPUBLIC OF",636,"COD",2009,"PRGF",12,"2009-12-11",0,28,98,126,10.5,0,2.33333333333333,8.16666666666667
116,632,"MALAWI",676,"MWI",2010,"PRGF",10,"2010-02-19",0,4,14,18,1.8,0,0.4,1.4
116,632,"MALAWI",676,"MWI",2010,"PRGF",12,"2010-02-19",0,4,4,8,0.666666666666667,0,0.333333333333333,0.333333333333333
