orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	actualenddate	boardactdate	dqpccode	dqpc	dqpcnote	testdate	revstatus	comments	units	programamt	actualamt	programtype	reviewtype
P010800429	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	1	Total domestic credit		12.31.2006	M		NC (billions)	58.6	63.5	P1	R6
P010800430	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	1	Total domestic credit		06.30.2006	CAN	At P1R5, test date changed to indicative target observation.	NC (billions)	69.7		P1	R6
P010800431	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	16	Credit to Government/public sector		12.31.2004	M		NC (billions)	49.2	102.2	P1	R6
P010800432	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	16	Credit to Government/public sector		06.30.2004	M		NC (billions)	39.6	71.7	P1	R6
P010800433	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	16	Credit to Government/public sector		06.30.2005	M		NC (billions)	81.3	83.7	P1	R6
P010800434	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	16	Credit to Government/public sector		12.31.2005	M	Disregard footnotes on Table 1, page 48, EBS/05/103. Instead, page 36, paragraph 9 indicates that 12/31/05 is qpc test date. 	NC(billions)	68.6	123	P1	R6
P010800435	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	16	Credit to Government/public sector		12.31.2006	M	At P1R3R4, net credit from the banking system to the government changed to net domestic financing to the government for 2006 values. The definition of banking system credit to government reflects the programmed issuance of tradable treasury securities, which would be set on domestic financing of the budget. The programmed amounts for June and December 2006 are net flows for the period considered.	NC (billions)	22.9	21.3	P1	R6
P010800436	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	16	Credit to Government/public sector		06.30.2006	CAN	At P1R5, test date changed to indicative target observation.	NC (billions)	14.2		P1	R6
P010800437	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	32	BOP/Reserve Test		12.31.2004	M		US$ (billions)	0.0298	0.0199	P1	R6
P010800438	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	32	BOP/Reserve Test		06.30.2004	M		US$ (billions)	0.0326	0.0112	P1	R6
P010800439	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	32	BOP/Reserve Test		06.30.2005	M		US$ (billions)	0.0152	0.0295	P1	R6
P010800440	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	32	BOP/Reserve Test		12.31.2005	M	Disregard footnotes on Table 1, page 48, EBS/05/103. Instead, page 36, paragraph 9 indicates that 12/31/05 is qpc test date. 	US$(billions)	0.0325	0.0488	P1	R6
P010800441	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	32	BOP/Reserve Test		12.31.2006	M		US$(billions)	0.0556	0.0428	P1	R6
P010800442	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	32	BOP/Reserve Test		06.30.2006	CAN	At P1R5, test date changed to indicative target observation.	US$(billions)	0.0409		P1	R6
P010800443	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	47	Medium /Long Term External Debt		12.31.2004	M		US$ (billions)	0.001	0	P1	R6
P010800444	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	47	Medium /Long Term External Debt		06.30.2004	M	General definition: small nominal amount allowed under the program on account of working credits from embassy suppliers that at times may show positive net values.	US$ (billions)	0.0005	0	P1	R6
P010800445	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	47	Medium /Long Term External Debt		06.30.2005	M		US$ (billions)	0	0	P1	R6
P010800446	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	47	Medium /Long Term External Debt		12.31.2005	M	Disregard footnotes on Table 1, page 48, EBS/05/103. Instead, page 36, paragraph 9 indicates that 12/31/05 is qpc test date. 	US$(billions)	0	0	P1	R6
P010800447	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	47	Medium /Long Term External Debt		12.31.2006	M		US$(billions)	0	0	P1	R6
P010800448	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	47	Medium /Long Term External Debt		06.30.2006	CAN	At P1R5, test date changed to indicative target observation.	US$(billions)	0		P1	R6
P010800449	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	84	Short term Debt		12.31.2004	M		US$ (billions)	0	0	P1	R6
P010800450	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	84	Short term Debt		06.30.2004	M		US$ (billions)	0	0	P1	R6
P010800451	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	84	Short term Debt		06.30.2005	M		US$ (billions)	0	0	P1	R6
P010800452	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	84	Short term Debt		12.31.2005	M	Disregard footnotes on Table 1, page 48, EBS/05/103. Instead, page 36, paragraph 9 indicates that 12/31/05 is qpc test date. 	US$(billions)	0	0	P1	R6
P010800453	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	84	Short term Debt		12.31.2006	M		US$(billions)	0		P1	R6
P010800454	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	84	Short term Debt		06.30.2006	CAN	At P1R5, test date changed to indicative target observation.	US$(billions)	0		P1	R6
P010800455	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	114	Ceiling on External Arrears		12.31.2004	M		US$ (billions)	0.0224	0	P1	R6
P010800456	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	114	Ceiling on External Arrears		06.30.2004	W	At P1R1, an upward revision of the historic stock of arrears estimated at the time when the 2004 program was designed and slower arrears clearance were the causes of exceeding the ceiling. Corrective action was taken and a waiver approved.	US$ (billions)	0.059	0.0949	P1	R6
P010800457	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	114	Ceiling on External Arrears		06.30.2005	M		US$ (billions)	0	0	P1	R6
P010800458	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	114	Ceiling on External Arrears		12.31.2006	W	At P1R6, waiver granted for the temporary accumulation of external payment arrears.	US$(billions)	0	0.004	P1	R6
P010800459	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	114	Ceiling on External Arrears		12.31.2005	NM	Disregard footnotes on Table 1, page 48, EBS/05/103. Instead, page 36, paragraph 9 indicates that 12/31/05 is qpc test date. At P1R5, no waiver requested for the temporary accumulation of external payment arrears.	US$(billions)	0	0.005	P1	R6
P010800460	performance	538	burundi	PRGF	23.01.2004	22.01.2007	22.01.2008	16.01.2008	114	Ceiling on External Arrears		06.30.2006	CAN	At P1R5, test date changed to indicative target observation.	US$(billions)	0		P1	R6
P010800461	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	16	Credit to Government/public sector		12.31.2005	M	Increase in net bank financing cummulative from end-June 2005.	NC (billions)	97	-39	P1	R4
P010800462	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	16	Credit to Government/public sector		06.30.2006	M	Increase in net bank financing cummulative from end-June 2005.	NC (billions)	80	-262	P1	R4
P010800463	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	16	Credit to Government/public sector		12.31.2006	W	Cumulative from July 1, 2006. At P1R3, waiver granted on the basis of a minor deviation, and corrective action taken.	NC (billions)	-27	-15	P1	R4
P010800464	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	16	Credit to Government/public sector		06.30.2007	M	Cumulative from July 1, 2006.	NC (billions)	-9	-64	P1	R4
P010800465	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	16	Credit to Government/public sector		12.31.2007	PC		NC (billions)	-78		P1	R4
P010800466	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	16	Credit to Government/public sector		06.30.2008	PC		NC (billions)	-81		P1	R4
P010800467	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	47	Medium /Long Term External Debt		Continuous	PC		US$ (billions)	0		P1	R4
P010800468	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	47	Medium /Long Term External Debt		12.31.2005	M	Met for P1R1.	US$ (billions)	0	0	P1	R4
P010800469	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	47	Medium /Long Term External Debt		06.30.2006	M	Met for P1R2.	US$(billions)	0	0	P1	R4
P010800470	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	47	Medium /Long Term External Debt		12.31.2006	M	Met for P1R3.	US$(billions)	0	0	P1	R4
P010800471	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	47	Medium /Long Term External Debt		06.30.2007	NM	Met for P1R4.	US$(billions)	0	0	P1	R4
P010800472	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R4
P010800473	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	84	Short term Debt		12.31.2005	M	Met for P1R1.	US$ (billions)	0	0	P1	R4
P010800474	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	84	Short term Debt		06.30.2006	M	Met for P1R2.	US$(billions)	0	0	P1	R4
P010800475	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	84	Short term Debt		12.31.2006	M	Met for P1R3.	US$(billions)	0	0	P1	R4
P010800476	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	84	Short term Debt		06.30.2007	M	Met for P1R4.	US$(billions)	0	0	P1	R4
P010800477	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	107	No New arrears/default(continuous injunction)		Continuous	PC		US$ (billions)	0		P1	R4
P010800478	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	107	No New arrears/default(continuous injunction)		12.31.2005	M	Met for P1R1.	US$ (billions)	0	0	P1	R4
P010800479	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	107	No New arrears/default(continuous injunction)		06.30.2006	M	Met for P1R2.	US$(billions)	0	0	P1	R4
P010800480	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	107	No New arrears/default(continuous injunction)		12.31.2006	M	Met for P1R3.	US$(billions)	0	0	P1	R4
P010800481	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	107	No New arrears/default(continuous injunction)		06.30.2007	M	Met for P1R4.	US$(billions)	0	0	P1	R4
P010800482	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	135	Fiscal deficit		12.31.2005	M	Floor on the non-oil primary budget balance excluding on the revenue side external grants and on the expenditure side interest payments, foreign-financed capital spending, HIPC financed spending, and restructuring expenditure.	NC (billions)	-14	-6	P1	R4
P010800483	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	135	Fiscal deficit		06.30.2006	M	Floor on the non-oil primary budget balance excluding on the revenue side external grants and on the expenditure side interest payments, foreign-financed capital spending, HIPC financed spending, and restructuring expenditure.	NC (billions)	38	47	P1	R4
P010800484	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	135	Fiscal deficit		12.31.2006	M	Floor on the non-oil primary budget balance excluding on the revenue side external grants and on the expenditure side interest payments, foreign-financed capital spending, HIPC and C2D financed spending, and restructuring expenditure.	NC (billions)	-15	-18	P1	R4
P010800485	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	135	Fiscal deficit		06.30.2007	M	Floor on the non-oil primary budget balance excluding on the revenue side external grants and on the expenditure side interest payments, foreign-financed capital spending, HIPC and C2D financed spending, and restructuring expenditure.	NC (billions)	-21	24	P1	R4
P010800486	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	135	Fiscal deficit		12.31.2007	PC		NC (billions)	-46		P1	R4
P010800487	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	135	Fiscal deficit		06.30.2008	PC		NC (billions)	-2		P1	R4
P010800488	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	149	Domestic Arrears		12.31.2005	M	Floor on replenishment of HIPC account. 	NC (billions)	47	55	P1	R4
P010800489	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	149	Domestic Arrears		06.30.2006	M	Floor on replenishment of HIPC account.	NC (billions)	82	100	P1	R4
P010800490	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	149	Domestic Arrears		12.31.2006	CAN	At P1R2, this qpc discontinued.	NC (billions)	31		P1	R4
P010800491	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: structured debt	12.31.2006	M		NCU (billions)	66	102	P1	R4
P010800492	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: non-structured debt	12.31.2007	PC		NCU (billions)	71		P1	R4
P010800493	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: structured debt	12.31.2005	M		NCU (billions)	65	70	P1	R4
P010800494	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: structured debt	06.30.2007	M		NCU (billions)	164	167	P1	R4
P010800495	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: structured debt	06.30.2006	M		NCU (billions)	133	152	P1	R4
P010800496	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: non-structured debt	12.31.2006	M		NCU (billions)	33	72	P1	R4
P010800497	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: structured debt	06.30.2008	PC		NCU (billions)	54		P1	R4
P010800498	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: structured debt	12.31.2007	PC		NCU (billions)	143		P1	R4
P010800499	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: non-structured debt	12.31.2005	M		NCU (billions)	47	59	P1	R4
P010800500	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: non-structured debt	06.30.2007	M		NCU (billions)	93	109	P1	R4
P010800501	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: non-structured debt	06.30.2006	M		NCU (billions)	113	160	P1	R4
P010800502	performance	563	cameroon	PRGF	24.10.2005	23.10.2008		19.12.2007	7.2	Expenditures	Floor on reduction of domestic debt: non-structured debt	06.30.2008	PC		NCU (billions)	18		P1	R4
P010800503	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	1	Total domestic credit		06.30.2002	M		NC (billions)	0.2	-1	P1	R6
P010800504	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	1	Total domestic credit		12.31.2002	M		NC (billions)	0.3	-1	P1	R6
P010800505	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	1	Total domestic credit		06.30.2003	W		NC (billions)	0.4	1	P1	R6
P010800506	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	1	Total domestic credit		12.31.2003	W		NC (billions)	0.2	1.6	P1	R6
P010800507	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	1	Total domestic credit		06.30.2004	M		NC (billions)	0.2	-1	P1	R6
P010800508	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	1	Total domestic credit		12.31.2004	M		NC (billions)	-0.1	-1.4	P1	R6
P010800509	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	16	Credit to Government/public sector		06.30.2002	NM		NC (billions)	0.5	0.7	P1	R6
P010800510	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	16	Credit to Government/public sector		12.31.2002	M		NC (billions)	2.8	2.7	P1	R6
P010800511	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	16	Credit to Government/public sector		06.30.2003	W		NC (billions)	0	0.3	P1	R6
P010800512	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	16	Credit to Government/public sector		12.31.2003	M		NC (billions)	0.5	0.5	P1	R6
P010800513	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	16	Credit to Government/public sector		06.30.2004	M		NC (billions)	1.7	-0.5	P1	R6
P010800514	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	16	Credit to Government/public sector		12.31.2004	M		NC (billions)	0.3	0.2	P1	R6
P010800515	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	32	BOP/Reserve Test		06.30.2002	M	in millions of Euros	US$ (billions)	1.4	15.6	P1	R6
P010800516	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	32	BOP/Reserve Test		12.31.2002	M	In millions of Euros	US$ (billions)	9.4	26.1	P1	R6
P010800517	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	32	BOP/Reserve Test		06.30.2003	W	In millions of Euros	US$ (billions)	0.4	-1.3	P1	R6
P010800518	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	32	BOP/Reserve Test		12.31.2003	W	in millions of Euros	US$ (billions)	2.9	-4.1	P1	R6
P010800519	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	32	BOP/Reserve Test		06.30.2004	M	in millions of euros	US$ (billions)	7.9	10.3	P1	R6
P010800520	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	32	BOP/Reserve Test		12.31.2004	M		US$ (billions)	11	27.2	P1	R6
P010800521	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	47	Medium /Long Term External Debt		06.30.2002	W		US$ (billions)	0	2.5	P1	R6
P010800522	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	47	Medium /Long Term External Debt		12.31.2002	M		US$ (billions)	2.5	2.5	P1	R6
P010800523	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	47	Medium /Long Term External Debt		06.30.2003	M		US$ (billions)	0	0	P1	R6
P010800524	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	47	Medium /Long Term External Debt		12.31.2003	M		US$ (billions)	10	0	P1	R6
P010800525	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	47	Medium /Long Term External Debt		Continuous	PC		US$ (billions)	10		P1	R6
P010800526	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	47	Medium /Long Term External Debt		06.30.2004	M		US$ (billions)	10	10	P1	R6
P010800527	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	47	Medium /Long Term External Debt		12.31.2004	M		US$ (billions)	20	20	P1	R6
P010800528	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	84	Short term Debt		06.30.2002	M		US$ (billions)	0	0	P1	R6
P010800529	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	84	Short term Debt		12.31.2002	M		US$ (billions)	0	0	P1	R6
P010800530	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	84	Short term Debt		06.30.2003	M		US$ (billions)	0	0	P1	R6
P010800531	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	84	Short term Debt		12.31.2003	M		US$ (billions)	0	0	P1	R6
P010800532	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R6
P010800533	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	84	Short term Debt		06.30.2004	M		US$ (billions)	0	0	P1	R6
P010800534	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	84	Short term Debt		12.31.2004	M		US$ (billions)	0	0	P1	R6
P010800535	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	107	No New arrears/default(continuous injunction)		06.30.2002	M	Met for P1R1.	US$ (billions)	0	0	P1	R6
P010800536	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	107	No New arrears/default(continuous injunction)		12.31.2002	M	Met for P1R2.	US$ (billions)	0	0	P1	R6
P010800537	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	107	No New arrears/default(continuous injunction)		06.30.2003	M	Met for P1R3.	US$ (billions)	0	0	P1	R6
P010800538	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	107	No New arrears/default(continuous injunction)		12.31.2003	M	Met for P1R4.	US$ (billions)	0	0	P1	R6
P010800539	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	107	No New arrears/default(continuous injunction)		Continuous	PC		US$ (billions)	0		P1	R6
P010800540	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	107	No New arrears/default(continuous injunction)		06.30.2004	M	Met for P1R5.	US$ (billions)	0	0	P1	R6
P010800541	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	107	No New arrears/default(continuous injunction)		12.31.2004	M	Met for P1R6.	US$ (billions)	0	0	P1	R6
P010800542	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	149	Domestic Arrears		06.30.2002	W		NC (billions)	0	0.1	P1	R6
P010800543	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	149	Domestic Arrears		12.31.2002	M		NC (billions)	0	0	P1	R6
P010800544	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	149	Domestic Arrears		06.30.2003	M		NC (billions)	0.5	0	P1	R6
P010800545	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	149	Domestic Arrears		12.31.2003	M		NC (billions)	0	0	P1	R6
P010800546	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	149	Domestic Arrears		06.30.2004	M		NC (billions)	0	0	P1	R6
P010800547	performance	515	cape verde	PRGF	10.04.2002	31.12.2004	31.07.2005	25.05.2005	149	Domestic Arrears		12.31.2004	M		NC (billions)	0	0	P1	R6
P010800548	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	1	Total domestic credit		09.30.2006	M		NCU (billions)	-0.6	-3.8	P1	R3
P010800549	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	1	Total domestic credit		12.30.2006	M		NCU (billions)	-0.9	-4.4	P1	R3
P010800550	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	1	Total domestic credit		06.30.2007	M		NCU (billions)	-1.2	-4.7	P1	R3
P010800551	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	1	Total domestic credit		12.31.2007	AC		NCU (billions)	-2.3		P1	R3
P010800552	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	1	Total domestic credit		06.30.2008	AC		NCU (billions)	-1.3		P1	R3
P010800553	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	16	Credit to Government/public sector		09.30.2006	M		NCU (billions)	-1.4	-1.4	P1	R3
P010800554	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	16	Credit to Government/public sector		12.31.2006	W		NCU (billions)	-1.8	-0.7	P1	R3
P010800555	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	16	Credit to Government/public sector		06.30.2007	M		NCU (billions)	-0.8	-4	P1	R3
P010800556	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	16	Credit to Government/public sector		12.31.2007	AC		NCU (billions)	-1.6		P1	R3
P010800557	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	16	Credit to Government/public sector		06.30.2008	AC		NCU(billions)	-0.8		P1	R3
P010800558	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	32	BOP/Reserve Test		09.30.2006	M		Euros (millions)	13.8	42.6	P1	R3
P010800559	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	32	BOP/Reserve Test		12.31.2006	M		Euros (millions)	19	46.3	P1	R3
P010800560	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	32	BOP/Reserve Test		06.30.2007	M		Euros (millions)	21	53	P1	R3
P010800561	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	32	BOP/Reserve Test		12.31.2007	AC		Euros (millions)	31.8		P1	R3
P010800562	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	32	BOP/Reserve Test		06.30.2008	AC		Euros (millions)	26.6		P1	R3
P010800563	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	47	Medium /Long Term External Debt		09.30.2006	M		NCU (billions)	10	3.2	P1	R3
P010800564	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	47	Medium /Long Term External Debt		12.31.2006	M		NCU (billions)	20	5.9	P1	R3
P010800565	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	47	Medium /Long Term External Debt		06.30.2007	M		NCU (billions)	21	0	P1	R3
P010800566	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	47	Medium /Long Term External Debt		12.31.2007	AC		NCU (billions)	35		P1	R3
P010800567	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	47	Medium /Long Term External Debt		06.30.2008	AC		NCU(billions)	21		P1	R3
P010800568	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	84	Short term Debt		Continuous	AC		NCU (billions)	0		P1	R3
P010800569	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	84	Short term Debt		09.30.2006	M	Met for P1R1.	NCU (billions)	0	0	P1	R3
P010800570	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	84	Short term Debt		12.31.2006	M	Met for P1R2.	NCU (billions)	0	0	P1	R3
P010800571	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	84	Short term Debt		06.30.2007	M	Met for P1R3.	NCU(billions)	0	0	P1	R3
P010800572	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	107	No New arrears/default(continuous injunction)		Continuous	AC		NCU (billions)	0		P1	R3
