orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930100059	performance	406	albania	PRGF	12.05.1998	31.07.2001	6	Short-term Debt	3.31.2001	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100060	performance	272	albania	ESAF	12.05.1998	11.05.2001	8	No New External Arrears	Continuous	M	Midterm review: Waiver granted for nonobservance of performance criterion on establishing a 135,000 employee civil service ceiling and a workforce reduction. The waiver was granted on the basis of the corrective action taken by the authorities to fulfill the perf. crit. by end-1998.	P1R1	P1	R1
P930100061	performance	316	albania	ESAF	12.05.1998	11.05.2001	8	No New External Arrears	Continuous	M	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100062	performance	406	albania	PRGF	12.05.1998	31.07.2001	8	No New External Arrears	Continuous	M	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100063	performance	272	albania	ESAF	12.05.1998	11.05.2001	1449	Ceiling of 135,000 employees in budgetary institutions and reduce workforce	9.30.1998	W	Midterm review: Waiver granted for nonobservance of performance criterion on establishing a 135,000 employee civil service ceiling and a workforce reduction. The waiver was granted on the basis of the corrective action taken by the authorities to fulfill the perf. crit. by end-1998.	P1R1	P1	R1
P930100064	performance	272	albania	ESAF	12.05.1998	11.05.2001	1450	Decide on privatization or liquidation of NCB	9.30.1998	M	Midterm review: Waiver granted for nonobservance of performance criterion on establishing a 135,000 employee civil service ceiling and a workforce reduction. The waiver was granted on the basis of the corrective action taken by the authorities to fulfill the perf. crit. by end-1998.	P1R1	P1	R1
P930100065	performance	316	albania	ESAF	12.05.1998	11.05.2001	1744	Complete process of SME privatization	9.30.1999	W	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100066	performance	316	albania	ESAF	12.05.1998	11.05.2001	1745	Submit to parliament draft law for privatization of Savings Bank	9.30.1999	W	Midterm review: Two structural performance criteria for 9/99 waived. The draft law for privatization of the Savings Bank was submitted to parliament was sent by time of review. The sale or liquidation of all bu 50 SMEs should be met shortly.	P2R2	P2	R2
P930100067	performance	406	albania	PRGF	12.05.1998	31.07.2001	2162	Finalize Privatization of AMC and Other Enterprises	9.30.2000	W	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100068	performance	406	albania	PRGF	12.05.1998	31.07.2001	2163	Appoint Priv. Advisor for the Savings Bank	9.30.2000	W	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100069	performance	406	albania	PRGF	12.05.1998	31.07.2001	2164	Announce Tender for Priv. of the Savings Bank	11.30.2000	W	1st review: Waivers granted for nonobservance of three structural benchmarks.	P3R2	P3	R2
P930100070	performance	117	algeria	ESAF	14.07.1993	13.07.1996	1	Domestic Credit	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100071	performance	117	algeria	ESAF	14.07.1993	13.07.1996	2	Credit to Government/Public Sector	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100072	performance	117	algeria	ESAF	14.07.1993	13.07.1996	3	BOP/Reserve Test	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100073	performance	117	algeria	ESAF	14.07.1993	13.07.1996	4	Med/Long-term Ext Debt Ceiling	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100074	performance	117	algeria	ESAF	14.07.1993	13.07.1996	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100075	performance	117	algeria	ESAF	14.07.1993	13.07.1996	6	Short-term Debt	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100076	performance	117	algeria	ESAF	14.07.1993	13.07.1996	7	External Arrears	12.31.1994	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
P930100077	performance	117	algeria	ESAF	14.07.1993	13.07.1996	8	No New External Arrears	Continue	M	Rev. postponed since Dec. mission not able to compl. rev.; waivers granted for non-observnc of p.c.: 1)preparation of update PIP for 94-97; 2)draft law on land sales & on the expedited settlemt of land disputes; 3)reductn in civil serv. emplymt; Board me	P2R1	P2	R1
