orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930104149	performance	146	hungary	SBA	15.03.1996	14.02.1998	837	Other: Fiscal Deficit incl. Privatization Receipts	12.31.1996	M	A waiver was granted in the 1st review for breach of the performance criterion for NIR. 2nd review: delay in completion of review due to delay in submission of pension reform to parliament (a prior action). 3rd review: Waiver granted for performance criteria on pension reform.	P1R3	P1	R3
P930104150	performance	146	hungary	SBA	15.03.1996	14.02.1998	837	Other: Fiscal Deficit incl. Privatization Receipts	12.31.1997	PC	A waiver was granted in the 1st review for breach of the performance criterion for NIR. 2nd review: delay in completion of review due to delay in submission of pension reform to parliament (a prior action). 3rd review: Waiver granted for performance criteria on pension reform.	P1R3	P1	R3
P930104151	performance	146	hungary	SBA	15.03.1996	14.02.1998	995	Parliamentary apporval of pension and pension disability legislation	8.30.1997	W	A waiver was granted in the 1st review for breach of the performance criterion for NIR. 2nd review: delay in completion of review due to delay in submission of pension reform to parliament (a prior action). 3rd review: Waiver granted for performance criteria on pension reform.	P1R3	P1	R3
P930104152	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	12.31.1992	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104153	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	3.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104154	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	6.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104155	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	9.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104156	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	12.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104157	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	3.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104158	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	6.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104159	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	9.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104160	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	12.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104161	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	3.31.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104162	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	6.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104163	performance	14	jamaica	EFF	11.12.1992	16.03.1996	1	Domestic Credit	9.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104164	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	12.31.1992	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104165	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	3.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104166	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	6.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104167	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	9.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104168	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	12.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104169	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	3.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104170	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	6.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104171	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	9.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104172	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	12.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104173	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	3.31.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104174	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	6.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104175	performance	14	jamaica	EFF	11.12.1992	16.03.1996	3	BOP/Reserve Test	9.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104176	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	12.31.1992	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104177	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	3.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104178	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	6.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104179	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	9.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104180	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	12.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104181	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	3.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104182	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	6.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104183	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	9.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104184	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	12.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104185	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	3.31.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104186	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	6.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104187	performance	14	jamaica	EFF	11.12.1992	16.03.1996	4	Med/Long-term Ext Debt Ceiling	9.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104188	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1992	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104189	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104190	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104191	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104192	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104193	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104194	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104195	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104196	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104197	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104198	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104199	performance	14	jamaica	EFF	11.12.1992	16.03.1996	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104200	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	12.31.1992	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104201	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	3.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104202	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	6.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104203	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	9.30.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104204	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	12.31.1993	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104205	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	3.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104206	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	6.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104207	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	9.30.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104208	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	12.31.1994	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104209	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	3.31.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
P930104210	performance	14	jamaica	EFF	11.12.1992	16.03.1996	6	Short-term Debt	6.30.1995	M	P.c. waived w/ respect to pub. sector borrowing requirement due to dealy in loan disbursement of US$20 million from IDB from 6/93-7/93. Review of 6/30/94 completed on lapse-of-time basis. Discussions w/ authorities prolonged on acct. of wage negotiations. 6/95 review delayed until 3/96 due to lack of agreement on dealing with weakened financial system and subsequent weakening of macroeconomic situation.	P1R5	P1	R5
