programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb,unsc,unsc3,unsc_t1,XDebtGNI,DebtServGNI,ResXDebt,FuelExportPct,MineralExportPct,Rohstoffabhängigkeit
28,529,RWANDA,714,RWA,2002,PRGF,14,2002-08-12,22,25,54,101,7.214285714285714,1.5714285714285714,1.7857142857142858,3.857142857142857,0,0,0,31.3172752974708,3.0151,16.7853483670789,0,35.088175963992,35.088175963992
28,529,RWANDA,714,RWA,2002,PRGF,16,2002-08-12,11,15,28,54,3.375,0.6875,0.9375,1.75,0,0,0,31.3172752974708,3.0151,16.7853483670789,0,35.088175963992,35.088175963992
33,534,TANZANIA,738,TZA,2003,PRGF,16,2003-08-16,14,2,37,53,3.3125,0.875,0.125,2.3125,0,0,0,30.4488358249326,11.2623,27.8299260045952,0.0582492548746596,6.17005787028101,6.22830712515567
33,534,TANZANIA,738,TZA,2003,PRGF,31,2003-08-16,3,1,5,9,0.2903225806451613,0.0967741935483871,0.03225806451612903,0.16129032258064516,0,0,0,30.4488358249326,11.2623,27.8299260045952,0.0582492548746596,6.17005787028101,6.22830712515567
37,539,DOMINICAN REPUBLIC,243,DOM,2003,EFF_SBA,6,2003-08-29,9,18,16,43,7.166666666666667,1.5,3,2.6666666666666665,0,0,0,84.4495031861592,14.1746,3.84155226343977,2.5885470393514,0.451525526676631,3.040072566028031
37,539,DOMINICAN REPUBLIC,243,DOM,2003,EFF_SBA,8,2003-08-29,4,8,8,20,2.5,0.5,1,1,0,0,0,84.4495031861592,14.1746,3.84155226343977,2.5885470393514,0.451525526676631,3.040072566028031
38,540,GABON,646,GAB,2004,EFF_SBA,5,2004-05-28,10,30,110,150,30,2,6,22,0,0,0,81.7675371418698,4.4504,10.9219293951205,76.1833932062393,5.50841106598959,81.6918042722289
39,541,GEORGIA,915,GEO,2004,PRGF,12,2004-06-04,52,20,90,162,13.5,4.333333333333333,1.6666666666666667,7.5,0,0,0,79.0407459055607,4.5871,16.6914033517703,3.52462707764719,24.1908885799925,27.71551565763969
39,541,GEORGIA,915,GEO,2004,PRGF,13,2004-06-04,32,8,57,97,7.461538461538462,2.4615384615384617,0.6153846153846154,4.384615384615385,0,0,0,79.0407459055607,4.5871,16.6914033517703,3.52462707764719,24.1908885799925,27.71551565763969
40,542,HONDURAS,268,HND,2004,PRGF,12,2004-02-18,40,19,56,115,9.583333333333334,3.3333333333333335,1.5833333333333333,4.666666666666667,0,0,0,135.461758741854,6.8143,31.9030293553917,0.10107453163439,6.35794151098228,6.45901604261667
42,544,MOZAMBIQUE,688,MOZ,2004,PRGF,12,2004-07-06,64,24,140,228,19,5.333333333333333,2,11.666666666666666,0,0,0,72.0520001612374,13.0988,19.3590661440903,12.4214437884527,61.5258863677345,73.9473301561872
43,545,PERU,293,PER,2004,EFF_SBA,9,2004-06-09,13,0,30,43,4.777777777777778,1.4444444444444444,0,3.3333333333333335,0,0,0,41.9360782679273,8.7331,39.8982104894219,5.45456110464244,39.0245043877429,44.47906549238534
44,546,UKRAINE,926,UKR,2004,EFF_SBA,4,2004-03-29,3,5,3,11,2.75,0.75,1.25,0.75,0,0,0,109.981708544962,32.5137,30.2665466409778,10.4198172781886,6.20671410904734,16.62653138723594
45,547,ZAMBIA,754,ZMB,2004,PRGF,12,2004-06-16,56,17,101,174,14.5,4.666666666666667,1.4166666666666667,8.416666666666666,0,0,0,70.8130749317722,1.8132,4.46591430694416,1.98338581633262,46.5515777026805,48.53496351901312
45,547,ZAMBIA,754,ZMB,2004,PRGF,13,2004-06-16,22,4,38,64,4.923076923076923,1.6923076923076923,0.3076923076923077,2.923076923076923,0,0,0,70.8130749317722,1.8132,4.46591430694416,1.98338581633262,46.5515777026805,48.53496351901312
47,549,BULGARIA,918,BGR,2004,EFF_SBA,8,2004-08-06,26,15,51,92,11.5,3.25,1.875,6.375,0,0,0,93.0639046910296,19.6595,56.1790252120746,7.99389645248731,12.4085273371493,20.40242378963661
47,549,BULGARIA,918,BGR,2004,EFF_SBA,9,2004-08-06,6,2,10,18,2,0.6666666666666666,0.2222222222222222,1.1111111111111112,0,0,0,93.0639046910296,19.6595,56.1790252120746,7.99389645248731,12.4085273371493,20.40242378963661
47,549,BULGARIA,918,BGR,2004,EFF_SBA,11,2004-08-06,47,20,79,146,13.272727272727273,4.2727272727272725,1.8181818181818181,7.181818181818182,0,0,0,93.0639046910296,19.6595,56.1790252120746,7.99389645248731,12.4085273371493,20.40242378963661
50,552,DOMINICAN REPUBLIC,243,DOM,2005,EFF_SBA,9,2005-01-31,50,70,55,175,19.444444444444443,5.555555555555555,7.777777777777778,6.111111111111111,0,0,0,61.6535587358027,11.4441,24.8954762689644,5.2442182706843,0.66806770432309,5.91228597500739
50,552,DOMINICAN REPUBLIC,243,DOM,2005,EFF_SBA,12,2005-01-31,107,126,92,325,27.083333333333332,8.916666666666666,10.5,7.666666666666667,0,0,0,61.6535587358027,11.4441,24.8954762689644,5.2442182706843,0.66806770432309,5.91228597500739
52,554,KYRGYZ REPUBLIC,917,KGZ,2005,PRGF,12,2005-02-23,3,0,95,98,8.166666666666666,0.25,0,7.916666666666667,0,0,0,95.0840046303638,5.862,27.136089935651,7.53021666575875,4.01191709879507,11.542133764553821
52,554,KYRGYZ REPUBLIC,917,KGZ,2005,PRGF,13,2005-02-23,2,0,60,62,4.769230769230769,0.15384615384615385,0,4.615384615384615,0,0,0,95.0840046303638,5.862,27.136089935651,7.53021666575875,4.01191709879507,11.542133764553821
53,555,COLOMBIA,233,COL,2005,EFF_SBA,6,2005-05-02,10,4,44,58,9.666666666666666,1.6666666666666667,0.6666666666666666,7.333333333333333,0,0,0,37.422697494955,15.0327,39.8816404917104,39.2456236749078,1.34002058452425,40.585644259432044
55,557,ARMENIA,911,ARM,2005,PRGF,12,2005-05-25,62,14,122,198,16.5,5.166666666666667,1.1666666666666667,10.166666666666666,0,0,0,70.1397385835334,15.1206,33.9867997524662,2.21920980265978,9.40870946056114,11.62791926322092
60,562,"NORTH MACEDONIA, REPUBLIC OF",962,MKD,2005,EFF_SBA,12,2005-08-31,48,18,164,230,19.166666666666668,4,1.5,13.666666666666666,0,0,0,85.8410034787176,26.8573,45.0117519839887,8.01509431727616,3.02525615728899,11.04035047456515
61,563,CAMEROON,622,CMR,2005,PRGF,12,2005-10-24,37,0,168,205,17.083333333333332,3.0833333333333335,0,14,0,0,0,44.9976813478478,4.3352,12.5290160988282,56.8647779866486,4.78205402791316,61.64683201456176
61,563,CAMEROON,622,CMR,2005,PRGF,13,2005-10-24,22,0,120,142,10.923076923076923,1.6923076923076923,0,9.23076923076923,0,0,0,44.9976813478478,4.3352,12.5290160988282,56.8647779866486,4.78205402791316,61.64683201456176
64,567,MOLDOVA,921,MDA,2006,PRGF,12,2006-05-05,60,51,142,253,21.083333333333332,5,4.25,11.833333333333334,0,0,0,137.154763819994,32.1168,29.5746666710747,0.324050217151906,4.98885136775403,5.312901584905936
65,568,PARAGUAY,288,PRY,2006,EFF_SBA,9,2006-05-31,12,0,120,132,14.666666666666666,1.3333333333333333,0,13.333333333333334,0,0,0,84.7335313048126,37.4264,17.7950494409416,46.917218626047,0.571097196782024,47.48831582282903
