"ISO3","Year","programnr","Arrangement.Number","Country.Name","MONA.Code","arrtype_group","nrquarters","approvaldate","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","nrcondtype_all","avgcondtype_all","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","country","unsc","unsc_t1","unsc3"
"MRT",2010,118,634,"MAURITANIA",682,"PRGF",13,"2010-03-15",0,1,80,81,6.23076923076923,0,0.0769230769230769,6.15384615384615,93.4207451334608,30.5273,8.09372148959162,14.4296063553899,35.3547808620966,49.7843872174865,"",0,0,0
"MRT",2010,118,634,"MAURITANIA",682,"PRGF",12,"2010-03-15",0,0,107,107,8.91666666666667,0,0,8.91666666666667,93.4207451334608,30.5273,8.09372148959162,14.4296063553899,35.3547808620966,49.7843872174865,"",0,0,0
"MWI",2018,203,768,"MALAWI",676,"PRGF",12,"2018-04-30",0,14,68,82,6.83333333333333,0,1.16666666666667,5.66666666666667,43.578773489,1.1211,33.8151640446414,0.0658028178635877,0.520621161876729,0.586423979740317,"",0,0,0
"MWI",2018,203,768,"MALAWI",676,"PRGF",10,"2018-04-30",0,9,60,69,6.9,0,0.9,6,43.578773489,1.1211,33.8151640446414,0.0658028178635877,0.520621161876729,0.586423979740317,"",0,0,0
"RWA",2002,28,529,"RWANDA",714,"PRGF",12,"2002-08-12",22,20,42,84,7,1.83333333333333,1.66666666666667,3.5,31.3172752974708,3.0151,16.7853483670789,0,35.088175963992,35.088175963992,"",0,0,0
"RWA",2002,28,529,"RWANDA",714,"PRGF",14,"2002-08-12",22,25,54,101,7.21428571428571,1.57142857142857,1.78571428571429,3.85714285714286,31.3172752974708,3.0151,16.7853483670789,0,35.088175963992,35.088175963992,"",0,0,0
"RWA",2002,28,529,"RWANDA",714,"PRGF",16,"2002-08-12",11,15,28,54,3.375,0.6875,0.9375,1.75,31.3172752974708,3.0151,16.7853483670789,0,35.088175963992,35.088175963992,"",0,0,0
"RWA",2006,66,569,"RWANDA",714,"PRGF",12,"2006-06-05",27,15,77,119,9.91666666666667,2.25,1.25,6.41666666666667,33.6578390444203,4.4204,88.0507090626504,0.00416015534860654,31.4407560198606,31.4449161752092,"",0,0,0
"RWA",2006,66,569,"RWANDA",714,"PRGF",13,"2006-06-05",6,3,16,25,1.92307692307692,0.461538461538462,0.230769230769231,1.23076923076923,33.6578390444203,4.4204,88.0507090626504,0.00416015534860654,31.4407560198606,31.4449161752092,"",0,0,0
"SLE",2017,196,758,"SIERRA LEONE",724,"PRGF",6,"2017-06-05",0,4,11,15,2.5,0,0.666666666666667,1.83333333333333,41.5213782343591,10.8705,30.6035747879682,0.0564669332343084,9.23607569467904,9.29254262791335,"",0,0,0
"SLE",2018,206,773,"SIERRA LEONE",724,"PRGF",19,"2018-11-30",0,14,57,71,3.73684210526316,0,0.736842105263158,3,37.3774603119412,10.282,27.3394520213469,0.143317650742994,19.708507181177,19.85182483192,"",0,0,0
"SLE",2018,206,773,"SIERRA LEONE",724,"PRGF",20,"2018-11-30",0,60,77,137,6.85,0,3,3.85,37.3774603119412,10.282,27.3394520213469,0.143317650742994,19.708507181177,19.85182483192,"",0,0,0
"SLE",2018,206,773,"SIERRA LEONE",724,"PRGF",15,"2018-11-30",0,12,26,38,2.53333333333333,0,0.8,1.73333333333333,37.3774603119412,10.282,27.3394520213469,0.143317650742994,19.708507181177,19.85182483192,"",0,0,0
"SLV",2009,98,609,"EL SALVADOR",253,"EFF_SBA",5,"2009-01-16",0,1,2,3,0.6,0,0.2,0.4,66.0711911744487,8.2957,29.9918129933645,2.75552281120897,1.29712979888706,4.05265261009603,"",0,0,0
"SLV",2010,119,635,"EL SALVADOR",253,"EFF_SBA",12,"2010-03-17",0,10,84,94,7.83333333333333,0,0.833333333333333,7,73.5372876725398,7.2709,25.0682655910882,2.92291722483646,1.69920510445875,4.62212232929521,"",0,0,0
"TUN",2013,158,699,"TUNISIA",744,"EFF_SBA",8,"2013-06-07",0,3,127,130,16.25,0,0.375,15.875,98.9549566862038,25.0238,28.7486211611694,15.2132858501248,1.49740188611581,16.7106877362406,"",0,0,0
"TUN",2013,158,699,"TUNISIA",744,"EFF_SBA",10,"2013-06-07",0,6,135,141,14.1,0,0.6,13.5,98.9549566862038,25.0238,28.7486211611694,15.2132858501248,1.49740188611581,16.7106877362406,"",0,0,0
"TUN",2016,180,735,"TUNISIA",744,"EFF_SBA",16,"2016-05-20",0,72,252,324,20.25,0,4.5,15.75,87.0926643641466,22.6706,20.7845127192957,5.6449759317471,1.62468650036307,7.26966243211017,"",0,0,0
"TZA",2003,33,534,"TANZANIA",738,"PRGF",16,"2003-08-16",14,2,37,53,3.3125,0.875,0.125,2.3125,30.4488358249326,11.2623,27.8299260045952,0.0582492548746596,6.17005787028101,6.22830712515567,"",0,0,0
"TZA",2003,33,534,"TANZANIA",738,"PRGF",12,"2003-08-16",37,8,81,126,10.5,3.08333333333333,0.666666666666667,6.75,30.4488358249326,11.2623,27.8299260045952,0.0582492548746596,6.17005787028101,6.22830712515567,"",0,0,0
"TZA",2003,33,534,"TANZANIA",738,"PRGF",31,"2003-08-16",3,1,5,9,0.290322580645161,0.0967741935483871,0.032258064516129,0.161290322580645,30.4488358249326,11.2623,27.8299260045952,0.0582492548746596,6.17005787028101,6.22830712515567,"",0,0,0
"UGA",2002,1,501,"UGANDA",746,"PRGF",14,"2002-09-13",10,8,37,55,3.92857142857143,0.714285714285714,0.571428571428571,2.64285714285714,36.2777941561831,3.9426,23.2351513193553,3.63329549166036,1.81303780824033,5.44633329990069,"",0,0,0
"UGA",2002,1,501,"UGANDA",746,"PRGF",12,"2002-09-13",32,8,98,138,11.5,2.66666666666667,0.666666666666667,8.16666666666667,36.2777941561831,3.9426,23.2351513193553,3.63329549166036,1.81303780824033,5.44633329990069,"",0,0,0
"UGA",2002,1,501,"UGANDA",746,"PRGF",13,"2002-09-13",10,8,36,54,4.15384615384615,0.769230769230769,0.615384615384615,2.76923076923077,36.2777941561831,3.9426,23.2351513193553,3.63329549166036,1.81303780824033,5.44633329990069,"",0,0,0
"UGA",2021,226,810,"UGANDA",746,"PRGF",12,"2021-06-28",0,55,145,200,16.6666666666667,0,4.58333333333333,12.0833333333333,41.7136307424781,8.572,23.6012010395494,3.44411222230529,0.744614230461867,4.18872645276716,"",0,0,0
"ZMB",2004,45,547,"ZAMBIA",754,"PRGF",13,"2004-06-16",22,4,38,64,4.92307692307692,1.69230769230769,0.307692307692308,2.92307692307692,70.8130749317722,1.8132,4.46591430694416,1.98338581633262,46.5515777026805,48.5349635190131,"",0,0,0
"ZMB",2004,45,547,"ZAMBIA",754,"PRGF",12,"2004-06-16",56,17,101,174,14.5,4.66666666666667,1.41666666666667,8.41666666666667,70.8130749317722,1.8132,4.46591430694416,1.98338581633262,46.5515777026805,48.5349635190131,"",0,0,0
"ZMB",2008,83,594,"ZAMBIA",754,"PRGF",12,"2008-06-04",12,0,108,120,10,1,0,9,59.4548891205874,22.0685,37.3035683405447,0.421744083665289,79.7857145794274,80.2074586630927,"",0,0,0
"ZMB",2022,241,838,"ZAMBIA",754,"PRGF",14,"2022-08-31",0,12,82,94,6.71428571428571,0,0.857142857142857,5.85714285714286,69.2973154193203,9.5849,10.4405689268511,2.81611636018103,75.6024881567735,78.4186045169545,"",0,0,0
"ZMB",2022,241,838,"ZAMBIA",754,"PRGF",13,"2022-08-31",0,49,214,263,20.2307692307692,0,3.76923076923077,16.4615384615385,69.2973154193203,9.5849,10.4405689268511,2.81611636018103,75.6024881567735,78.4186045169545,"",0,0,0
