"ISO3","Year","total_cond","rohstoff_cond","stabil_cond","sonstige_cond","avgcondtype_all","rohstoff_cond_share","stabil_cond_share","FuelExportPct","MineralExportPct","XDebtGNI","DebtServGNI","ResXDebt","unsc","unsc_t1","unsc3","resource_dep","Rohstoffabhängigkeit","region"
"CAF",2016,190,17,172,18,0.994736842105263,0.0894736842105263,0.905263157894737,0.0462492040248339,2.19732333466574,50.53064402191,15.0567,32.2353111184096,0,0,0,2.24357253869057,2.24357253869057,"SSA"
"CAF",2019,24,2,23,1,1.04166666666667,0.0833333333333333,0.958333333333333,0.0113438958450479,4.84862130405419,50.0658000014868,14.3762,40.3703328528045,0,0,0,4.85996519989924,4.85996519989924,"SSA"
"CAF",2023,88,27,70,8,1.10227272727273,0.306818181818182,0.795454545454545,0.00634066374558888,12.6689665953919,43.480570208358,11.3823,44.2634270780256,0,0,0,12.6753072591375,12.6753072591375,"SSA"
"CIV",2002,14,5,5,6,0.714285714285714,0.357142857142857,0.357142857142857,11.359930059128,0.163403618117846,55.9019482275388,6.8859,NA,0,0,0,11.5233336772458,11.5233336772458,"SSA"
"CIV",2009,92,18,67,11,0.923913043478261,0.195652173913043,0.728260869565217,29.4292929780665,0.403566085971238,66.6729037469185,3.2389,NA,0,0,0,29.8328590640377,29.8328590640377,"SSA"
"CIV",2011,756,135,382,281,0.683862433862434,0.178571428571429,0.505291005291005,24.3289042874042,0.189149965439685,64.7159030611345,3.6865,NA,0,0,0,24.5180542528439,24.5180542528439,"SSA"
"CIV",2016,341,67,280,61,1.01759530791789,0.196480938416422,0.821114369501466,12.2606024304154,0.182949942529029,47.5655783613535,2.3501,NA,0,0,0,12.4435523729444,12.4435523729444,"SSA"
"CIV",2023,94,2,81,13,0.882978723404255,0.0212765957446809,0.861702127659574,15.7704493008516,0.932912891480029,48.8170039103332,8.2067,NA,0,0,0,16.7033621923316,16.7033621923316,"SSA"
"CMR",2005,347,70,165,153,0.677233429394813,0.201729106628242,0.475504322766571,56.8647779866486,4.78205402791316,44.9976813478478,4.3352,12.5290160988282,0,0,0,61.6468320145618,61.6468320145618,"SSA"
"CMR",2017,463,47,317,140,0.786177105831533,0.101511879049676,0.684665226781857,43.4494115764582,5.59093811728154,39.1990216052629,5.2499,31.8093315326756,0,0,0,49.0403496937397,49.0403496937397,"SSA"
"CMR",2021,540,53,340,175,0.727777777777778,0.0981481481481482,0.62962962962963,51.8663592754246,2.0203363785866,36.7308347188558,4.2269,27.9608443681917,0,0,0,53.8866956540112,53.8866956540112,"SSA"
"COD",2009,126,32,113,10,1.15079365079365,0.253968253968254,0.896825396825397,NA,NA,63.0860045505312,4.7271,7.90787493144617,0,0,0,NA,NA,"SSA"
"COD",2021,215,58,129,34,0.869767441860465,0.269767441860465,0.6,0.00244527725898267,71.0236615792102,75.3870523860732,2.8078,33.0707549129425,0,0,0,71.0261068564692,71.0261068564692,"SSA"
"COD",2025,66,10,66,0,1.15151515151515,0.151515151515152,1,NA,NA,87.3342878785207,NA,NA,0,0,0,NA,NA,"SSA"
"COG",2004,92,42,78,5,1.30434782608696,0.456521739130435,0.847826086956522,NA,NA,131.368198717322,13.9017,1.82130351816687,0,0,0,NA,NA,"SSA"
"COG",2008,190,101,150,6,1.32105263157895,0.531578947368421,0.789473684210526,84.0961243972581,0.0282945243019541,133.108486659608,4.4825,74.1106579850402,0,1,1,84.12441892156,84.12441892156,"SSA"
"COG",2019,12,4,6,4,0.833333333333333,0.333333333333333,0.5,83.9394174364415,1.55912218977186,91.5757547930374,2.7833,11.7695148860798,0,0,0,85.4985396262134,85.4985396262134,"SSA"
"COG",2022,209,65,189,16,1.21531100478469,0.311004784688995,0.904306220095694,87.4554561831864,1.43657443739868,98.1613366922001,2.6285,11.4004065878658,0,0,0,88.8920306205851,88.8920306205851,"SSA"
"COL",2003,106,0,77,29,0.726415094339623,0,0.726415094339623,37.1903540205232,1.01255652251846,36.51618351723,9.5273,29.2577821652215,0,1,1,38.2029105430417,38.2029105430417,"LAC"
"COL",2005,58,0,36,22,0.620689655172414,0,0.620689655172414,39.2456236749078,1.34002058452425,37.422697494955,15.0327,39.8816404917104,0,0,0,40.585644259432,40.585644259432,"LAC"
"COM",2009,254,30,152,72,0.716535433070866,0.118110236220472,0.598425196850394,0.0236698103289717,0.0372923820621511,37.8969223253542,1.6544,52.6209862986815,0,0,0,0.0609621923911228,0.0609621923911228,"SSA"
"COM",2023,192,9,162,30,0.890625,0.046875,0.84375,0.00485457345334166,1.23197156881377,44.4398634497089,0.1187,85.0235095063537,0,0,0,1.23682614226711,1.23682614226711,"SSA"
