"wdicode","year","country","unsc","unsc_t1","unsc3"
"GNQ",2003,"",0,0,0
"IRQ",2003,"",0,0,0
"JOR",2003,"",0,0,0
"KEN",2003,"",0,0,0
"LBR",2003,"",0,0,0
"LSO",2003,"",0,0,0
"MDG",2003,"",0,0,0
"MLI",2003,"",0,0,0
"MOZ",2003,"",0,0,0
"MRT",2003,"",0,0,0
"MWI",2003,"",0,0,0
"NER",2003,"",0,0,0
"NGA",2003,"",0,0,0
"RWA",2003,"",0,0,0
"SDN",2003,"",0,0,0
"SEN",2003,"",0,0,0
"SLE",2003,"",0,0,0
"SLV",2003,"",0,0,0
"SOM",2003,"",0,0,0
"STP",2003,"",0,0,0
"SUR",2003,"",0,0,0
"TCD",2003,"",0,0,0
"TGO",2003,"",0,0,0
"TUN",2003,"",0,0,0
"TZA",2003,"",0,0,0
"UGA",2003,"",0,0,0
"YEM",2003,"",0,0,0
"ZMB",2003,"",0,0,0
"AGO",2004,"Angola",1,1,1
"BDI",2004,"",0,0,0
"BEN",2004,"Benin",1,0,1
"BFA",2004,"",0,0,0
"CAF",2004,"",0,0,0
"CIV",2004,"",0,0,0
"CMR",2004,"",0,1,1
"COD",2004,"",0,0,0
"COG",2004,"",0,0,0
"COM",2004,"",0,0,0
"CPV",2004,"",0,0,0
"DJI",2004,"",0,0,0
"EGY",2004,"",0,0,0
"ETH",2004,"",0,0,0
"GAB",2004,"",0,0,0
"GHA",2004,"",0,0,0
"GIN",2004,"",0,1,1
"GMB",2004,"",0,0,0
"GNB",2004,"",0,0,0
"GNQ",2004,"",0,0,0
"IRQ",2004,"",0,0,0
"JOR",2004,"",0,0,0
"KEN",2004,"",0,0,0
"LBR",2004,"",0,0,0
"LSO",2004,"",0,0,0
"MDG",2004,"",0,0,0
"MLI",2004,"",0,0,0
"MOZ",2004,"",0,0,0
"MRT",2004,"",0,0,0
"MWI",2004,"",0,0,0
"NER",2004,"",0,0,0
"NGA",2004,"",0,0,0
"RWA",2004,"",0,0,0
"SDN",2004,"",0,0,0
"SEN",2004,"",0,0,0
"SLE",2004,"",0,0,0
"SLV",2004,"",0,0,0
"SOM",2004,"",0,0,0
"STP",2004,"",0,0,0
"SUR",2004,"",0,0,0
"TCD",2004,"",0,0,0
"TGO",2004,"",0,0,0
"TUN",2004,"",0,0,0
"TZA",2004,"",0,0,0
"UGA",2004,"",0,0,0
"YEM",2004,"",0,0,0
"ZMB",2004,"",0,0,0
"AGO",2005,"",0,1,1
"BDI",2005,"",0,0,0
"BEN",2005,"Benin",1,1,1
"BFA",2005,"",0,0,0
"CAF",2005,"",0,0,0
"CIV",2005,"",0,0,0
"CMR",2005,"",0,0,0
"COD",2005,"",0,0,0
"COG",2005,"",0,0,0
"COM",2005,"",0,0,0
"CPV",2005,"",0,0,0
"DJI",2005,"",0,0,0
"EGY",2005,"",0,0,0
"ETH",2005,"",0,0,0
"GAB",2005,"",0,0,0
"GHA",2005,"",0,0,0
"GIN",2005,"",0,0,0
"GMB",2005,"",0,0,0
"GNB",2005,"",0,0,0
"GNQ",2005,"",0,0,0
"IRQ",2005,"",0,0,0
"JOR",2005,"",0,0,0
"KEN",2005,"",0,0,0
"LBR",2005,"",0,0,0
"LSO",2005,"",0,0,0
"MDG",2005,"",0,0,0
"MLI",2005,"",0,0,0
"MOZ",2005,"",0,0,0
"MRT",2005,"",0,0,0
"MWI",2005,"",0,0,0
"NER",2005,"",0,0,0
"NGA",2005,"",0,0,0
"RWA",2005,"",0,0,0
"SDN",2005,"",0,0,0
"SEN",2005,"",0,0,0
"SLE",2005,"",0,0,0
"SLV",2005,"",0,0,0
"SOM",2005,"",0,0,0
"STP",2005,"",0,0,0
"SUR",2005,"",0,0,0
"TCD",2005,"",0,0,0
"TGO",2005,"",0,0,0
"TUN",2005,"",0,0,0
"TZA",2005,"",0,0,0
"UGA",2005,"",0,0,0
"YEM",2005,"",0,0,0
"ZMB",2005,"",0,0,0
"AGO",2006,"",0,0,0
"BDI",2006,"",0,0,0
"BEN",2006,"",0,1,1
"BFA",2006,"",0,0,0
"CAF",2006,"",0,0,0
"CIV",2006,"",0,0,0
"CMR",2006,"",0,0,0
"COD",2006,"",0,0,0
"COG",2006,"Congo",1,0,1
"COM",2006,"",0,0,0
"CPV",2006,"",0,0,0
"DJI",2006,"",0,0,0
"EGY",2006,"",0,0,0
"ETH",2006,"",0,0,0
"GAB",2006,"",0,0,0
"GHA",2006,"Ghana",1,0,1
"GIN",2006,"",0,0,0
"GMB",2006,"",0,0,0
"GNB",2006,"",0,0,0
"GNQ",2006,"",0,0,0
"IRQ",2006,"",0,0,0
"JOR",2006,"",0,0,0
"KEN",2006,"",0,0,0
"LBR",2006,"",0,0,0
"LSO",2006,"",0,0,0
"MDG",2006,"",0,0,0
"MLI",2006,"",0,0,0
"MOZ",2006,"",0,0,0
"MRT",2006,"",0,0,0
"MWI",2006,"",0,0,0
"NER",2006,"",0,0,0
"NGA",2006,"",0,0,0
"RWA",2006,"",0,0,0
"SDN",2006,"",0,0,0
"SEN",2006,"",0,0,0
"SLE",2006,"",0,0,0
"SLV",2006,"",0,0,0
"SOM",2006,"",0,0,0
"STP",2006,"",0,0,0
"SUR",2006,"",0,0,0
"TCD",2006,"",0,0,0
"TGO",2006,"",0,0,0
"TUN",2006,"",0,0,0
"TZA",2006,"",0,0,0
"UGA",2006,"",0,0,0
"YEM",2006,"",0,0,0
"ZMB",2006,"",0,0,0
"AGO",2007,"",0,0,0
"BDI",2007,"",0,0,0
"BEN",2007,"",0,0,0
"BFA",2007,"",0,0,0
"CAF",2007,"",0,0,0
"CIV",2007,"",0,0,0
"CMR",2007,"",0,0,0
"COD",2007,"",0,0,0
"COG",2007,"Congo",1,1,1
"COM",2007,"",0,0,0
"CPV",2007,"",0,0,0
"DJI",2007,"",0,0,0
"EGY",2007,"",0,0,0
"ETH",2007,"",0,0,0
"GAB",2007,"",0,0,0
"GHA",2007,"Ghana",1,1,1
"GIN",2007,"",0,0,0
"GMB",2007,"",0,0,0
"GNB",2007,"",0,0,0
"GNQ",2007,"",0,0,0
"IRQ",2007,"",0,0,0
"JOR",2007,"",0,0,0
"KEN",2007,"",0,0,0
"LBR",2007,"",0,0,0
"LSO",2007,"",0,0,0
"MDG",2007,"",0,0,0
"MLI",2007,"",0,0,0
"MOZ",2007,"",0,0,0
"MRT",2007,"",0,0,0
"MWI",2007,"",0,0,0
"NER",2007,"",0,0,0
"NGA",2007,"",0,0,0
"RWA",2007,"",0,0,0
"SDN",2007,"",0,0,0
"SEN",2007,"",0,0,0
"SLE",2007,"",0,0,0
"SLV",2007,"",0,0,0
"SOM",2007,"",0,0,0
"STP",2007,"",0,0,0
"SUR",2007,"",0,0,0
"TCD",2007,"",0,0,0
"TGO",2007,"",0,0,0
"TUN",2007,"",0,0,0
"TZA",2007,"",0,0,0
"UGA",2007,"",0,0,0
"YEM",2007,"",0,0,0
"ZMB",2007,"",0,0,0
"AGO",2008,"",0,0,0
"BDI",2008,"",0,0,0
"BEN",2008,"",0,0,0
"BFA",2008,"Burkina Faso",1,0,1
"CAF",2008,"",0,0,0
"CIV",2008,"",0,0,0
"CMR",2008,"",0,0,0
"COD",2008,"",0,0,0
"COG",2008,"",0,1,1
"COM",2008,"",0,0,0
"CPV",2008,"",0,0,0
"DJI",2008,"",0,0,0
"EGY",2008,"",0,0,0
"ETH",2008,"",0,0,0
"GAB",2008,"",0,0,0
"GHA",2008,"",0,1,1
"GIN",2008,"",0,0,0
"GMB",2008,"",0,0,0
"GNB",2008,"",0,0,0
"GNQ",2008,"",0,0,0
"IRQ",2008,"",0,0,0
"JOR",2008,"",0,0,0
"KEN",2008,"",0,0,0
"LBR",2008,"",0,0,0
"LSO",2008,"",0,0,0
"MDG",2008,"",0,0,0
"MLI",2008,"",0,0,0
"MOZ",2008,"",0,0,0
"MRT",2008,"",0,0,0
"MWI",2008,"",0,0,0
"NER",2008,"",0,0,0
"NGA",2008,"",0,0,0
"RWA",2008,"",0,0,0
"SDN",2008,"",0,0,0
"SEN",2008,"",0,0,0
"SLE",2008,"",0,0,0
"SLV",2008,"",0,0,0
"SOM",2008,"",0,0,0
"STP",2008,"",0,0,0
"SUR",2008,"",0,0,0
"TCD",2008,"",0,0,0
"TGO",2008,"",0,0,0
"TUN",2008,"",0,0,0
"TZA",2008,"",0,0,0
"UGA",2008,"",0,0,0
"YEM",2008,"",0,0,0
"ZMB",2008,"",0,0,0
"AGO",2009,"",0,0,0
"BDI",2009,"",0,0,0
"BEN",2009,"",0,0,0
"BFA",2009,"Burkina Faso",1,1,1
"CAF",2009,"",0,0,0
"CIV",2009,"",0,0,0
"CMR",2009,"",0,0,0
"COD",2009,"",0,0,0
"COG",2009,"",0,0,0
"COM",2009,"",0,0,0
"CPV",2009,"",0,0,0
"DJI",2009,"",0,0,0
"EGY",2009,"",0,0,0
"ETH",2009,"",0,0,0
"GAB",2009,"",0,0,0
"GHA",2009,"",0,0,0
"GIN",2009,"",0,0,0
"GMB",2009,"",0,0,0
"GNB",2009,"",0,0,0
"GNQ",2009,"",0,0,0
"IRQ",2009,"",0,0,0
"JOR",2009,"",0,0,0
"KEN",2009,"",0,0,0
"LBR",2009,"",0,0,0
"LSO",2009,"",0,0,0
"MDG",2009,"",0,0,0
"MLI",2009,"",0,0,0
"MOZ",2009,"",0,0,0
"MRT",2009,"",0,0,0
"MWI",2009,"",0,0,0
"NER",2009,"",0,0,0
"NGA",2009,"",0,0,0
"RWA",2009,"",0,0,0
"SDN",2009,"",0,0,0
"SEN",2009,"",0,0,0
"SLE",2009,"",0,0,0
"SLV",2009,"",0,0,0
"SOM",2009,"",0,0,0
"STP",2009,"",0,0,0
"SUR",2009,"",0,0,0
"TCD",2009,"",0,0,0
"TGO",2009,"",0,0,0
"TUN",2009,"",0,0,0
"TZA",2009,"",0,0,0
"UGA",2009,"Uganda",1,0,1
"YEM",2009,"",0,0,0
"ZMB",2009,"",0,0,0
"AGO",2010,"",0,0,0
"BDI",2010,"",0,0,0
"BEN",2010,"",0,0,0
"BFA",2010,"",0,1,1
"CAF",2010,"",0,0,0
"CIV",2010,"",0,0,0
"CMR",2010,"",0,0,0
"COD",2010,"",0,0,0
"COG",2010,"",0,0,0
"COM",2010,"",0,0,0
"CPV",2010,"",0,0,0
"DJI",2010,"",0,0,0
"EGY",2010,"",0,0,0
"ETH",2010,"",0,0,0
"GAB",2010,"Gabon",1,0,1
"GHA",2010,"",0,0,0
"GIN",2010,"",0,0,0
"GMB",2010,"",0,0,0
"GNB",2010,"",0,0,0
"GNQ",2010,"",0,0,0
"IRQ",2010,"",0,0,0
"JOR",2010,"",0,0,0
"KEN",2010,"",0,0,0
"LBR",2010,"",0,0,0
"LSO",2010,"",0,0,0
"MDG",2010,"",0,0,0
"MLI",2010,"",0,0,0
"MOZ",2010,"",0,0,0
"MRT",2010,"",0,0,0
"MWI",2010,"",0,0,0
"NER",2010,"",0,0,0
"NGA",2010,"Nigeria",1,0,1
"RWA",2010,"",0,0,0
"SDN",2010,"",0,0,0
"SEN",2010,"",0,0,0
"SLE",2010,"",0,0,0
"SLV",2010,"",0,0,0
"SOM",2010,"",0,0,0
"STP",2010,"",0,0,0
"SUR",2010,"",0,0,0
"TCD",2010,"",0,0,0
"TGO",2010,"",0,0,0
"TUN",2010,"",0,0,0
"TZA",2010,"",0,0,0
"UGA",2010,"Uganda",1,1,1
"YEM",2010,"",0,0,0
"ZMB",2010,"",0,0,0
"AGO",2011,"",0,0,0
"BDI",2011,"",0,0,0
"BEN",2011,"",0,0,0
"BFA",2011,"",0,0,0
"CAF",2011,"",0,0,0
"CIV",2011,"",0,0,0
"CMR",2011,"",0,0,0
"COD",2011,"",0,0,0
"COG",2011,"",0,0,0
"COM",2011,"",0,0,0
"CPV",2011,"",0,0,0
"DJI",2011,"",0,0,0
"EGY",2011,"",0,0,0
"ETH",2011,"",0,0,0
"GAB",2011,"Gabon",1,1,1
"GHA",2011,"",0,0,0
"GIN",2011,"",0,0,0
"GMB",2011,"",0,0,0
"GNB",2011,"",0,0,0
"GNQ",2011,"",0,0,0
"IRQ",2011,"",0,0,0
"JOR",2011,"",0,0,0
"KEN",2011,"",0,0,0
"LBR",2011,"",0,0,0
"LSO",2011,"",0,0,0
"MDG",2011,"",0,0,0
"MLI",2011,"",0,0,0
"MOZ",2011,"",0,0,0
"MRT",2011,"",0,0,0
"MWI",2011,"",0,0,0
"NER",2011,"",0,0,0
"NGA",2011,"Nigeria",1,1,1
"RWA",2011,"",0,0,0
"SDN",2011,"",0,0,0
"SEN",2011,"",0,0,0
"SLE",2011,"",0,0,0
"SLV",2011,"",0,0,0
"SOM",2011,"",0,0,0
"STP",2011,"",0,0,0
"SUR",2011,"",0,0,0
"TCD",2011,"",0,0,0
"TGO",2011,"",0,0,0
"TUN",2011,"",0,0,0
"TZA",2011,"",0,0,0
"UGA",2011,"",0,1,1
"YEM",2011,"",0,0,0
"ZMB",2011,"",0,0,0
"AGO",2012,"",0,0,0
"BDI",2012,"",0,0,0
"BEN",2012,"",0,0,0
"BFA",2012,"",0,0,0
"CAF",2012,"",0,0,0
"CIV",2012,"",0,0,0
"CMR",2012,"",0,0,0
"COD",2012,"",0,0,0
"COG",2012,"",0,0,0
"COM",2012,"",0,0,0
"CPV",2012,"",0,0,0
"DJI",2012,"",0,0,0
"EGY",2012,"",0,0,0
"ETH",2012,"",0,0,0
"GAB",2012,"",0,1,1
"GHA",2012,"",0,0,0
"GIN",2012,"",0,0,0
"GMB",2012,"",0,0,0
"GNB",2012,"",0,0,0
"GNQ",2012,"",0,0,0
"IRQ",2012,"",0,0,0
"JOR",2012,"",0,0,0
"KEN",2012,"",0,0,0
"LBR",2012,"",0,0,0
"LSO",2012,"",0,0,0
"MDG",2012,"",0,0,0
"MLI",2012,"",0,0,0
"MOZ",2012,"",0,0,0
"MRT",2012,"",0,0,0
"MWI",2012,"",0,0,0
"NER",2012,"",0,0,0
"NGA",2012,"",0,1,1
"RWA",2012,"",0,0,0
"SDN",2012,"",0,0,0
"SEN",2012,"",0,0,0
"SLE",2012,"",0,0,0
"SLV",2012,"",0,0,0
"SOM",2012,"",0,0,0
"STP",2012,"",0,0,0
"SUR",2012,"",0,0,0
"TCD",2012,"",0,0,0
"TGO",2012,"Togo",1,0,1
"TUN",2012,"",0,0,0
"TZA",2012,"",0,0,0
"UGA",2012,"",0,0,0
"YEM",2012,"",0,0,0
"ZMB",2012,"",0,0,0
"AGO",2013,"",0,0,0
"BDI",2013,"",0,0,0
"BEN",2013,"",0,0,0
"BFA",2013,"",0,0,0
"CAF",2013,"",0,0,0
"CIV",2013,"",0,0,0
"CMR",2013,"",0,0,0
"COD",2013,"",0,0,0
"COG",2013,"",0,0,0
"COM",2013,"",0,0,0
"CPV",2013,"",0,0,0
"DJI",2013,"",0,0,0
"EGY",2013,"",0,0,0
"ETH",2013,"",0,0,0
"GAB",2013,"",0,0,0
"GHA",2013,"",0,0,0
"GIN",2013,"",0,0,0
"GMB",2013,"",0,0,0
"GNB",2013,"",0,0,0
"GNQ",2013,"",0,0,0
"IRQ",2013,"",0,0,0
"JOR",2013,"",0,0,0
"KEN",2013,"",0,0,0
"LBR",2013,"",0,0,0
"LSO",2013,"",0,0,0
"MDG",2013,"",0,0,0
"MLI",2013,"",0,0,0
"MOZ",2013,"",0,0,0
"MRT",2013,"",0,0,0
"MWI",2013,"",0,0,0
"NER",2013,"",0,0,0
"NGA",2013,"",0,0,0
"RWA",2013,"Rwanda",1,0,1
"SDN",2013,"",0,0,0
"SEN",2013,"",0,0,0
"SLE",2013,"",0,0,0
"SLV",2013,"",0,0,0
"SOM",2013,"",0,0,0
"STP",2013,"",0,0,0
"SUR",2013,"",0,0,0
"TCD",2013,"",0,0,0
"TGO",2013,"Togo",1,1,1
"TUN",2013,"",0,0,0
"TZA",2013,"",0,0,0
"UGA",2013,"",0,0,0
"YEM",2013,"",0,0,0
"ZMB",2013,"",0,0,0
"AGO",2014,"",0,0,0
"BDI",2014,"",0,0,0
"BEN",2014,"",0,0,0
"BFA",2014,"",0,0,0
"CAF",2014,"",0,0,0
"CIV",2014,"",0,0,0
"CMR",2014,"",0,0,0
"COD",2014,"",0,0,0
"COG",2014,"",0,0,0
"COM",2014,"",0,0,0
"CPV",2014,"",0,0,0
"DJI",2014,"",0,0,0
"EGY",2014,"",0,0,0
"ETH",2014,"",0,0,0
"GAB",2014,"",0,0,0
"GHA",2014,"",0,0,0
"GIN",2014,"",0,0,0
"GMB",2014,"",0,0,0
"GNB",2014,"",0,0,0
"GNQ",2014,"",0,0,0
"IRQ",2014,"",0,0,0
"JOR",2014,"Jordan",1,0,1
"KEN",2014,"",0,0,0
"LBR",2014,"",0,0,0
"LSO",2014,"",0,0,0
"MDG",2014,"",0,0,0
"MLI",2014,"",0,0,0
"MOZ",2014,"",0,0,0
"MRT",2014,"",0,0,0
"MWI",2014,"",0,0,0
"NER",2014,"",0,0,0
"NGA",2014,"Nigeria",1,0,1
"RWA",2014,"Rwanda",1,1,1
"SDN",2014,"",0,0,0
"SEN",2014,"",0,0,0
"SLE",2014,"",0,0,0
"SLV",2014,"",0,0,0
"SOM",2014,"",0,0,0
"STP",2014,"",0,0,0
"SUR",2014,"",0,0,0
"TCD",2014,"Chad",1,0,1
"TGO",2014,"",0,1,1
"TUN",2014,"",0,0,0
"TZA",2014,"",0,0,0
"UGA",2014,"",0,0,0
"YEM",2014,"",0,0,0
"ZMB",2014,"",0,0,0
"AGO",2015,"Angola",1,0,1
"BDI",2015,"",0,0,0
"BEN",2015,"",0,0,0
"BFA",2015,"",0,0,0
"CAF",2015,"",0,0,0
"CIV",2015,"",0,0,0
"CMR",2015,"",0,0,0
"COD",2015,"",0,0,0
"COG",2015,"",0,0,0
"COM",2015,"",0,0,0
"CPV",2015,"",0,0,0
"DJI",2015,"",0,0,0
"EGY",2015,"",0,0,0
"ETH",2015,"",0,0,0
"GAB",2015,"",0,0,0
"GHA",2015,"",0,0,0
"GIN",2015,"",0,0,0
"GMB",2015,"",0,0,0
"GNB",2015,"",0,0,0
"GNQ",2015,"",0,0,0
"IRQ",2015,"",0,0,0
"JOR",2015,"Jordan",1,1,1
"KEN",2015,"",0,0,0
"LBR",2015,"",0,0,0
"LSO",2015,"",0,0,0
"MDG",2015,"",0,0,0
"MLI",2015,"",0,0,0
"MOZ",2015,"",0,0,0
"MRT",2015,"",0,0,0
"MWI",2015,"",0,0,0
"NER",2015,"",0,0,0
"NGA",2015,"Nigeria",1,1,1
"RWA",2015,"",0,1,1
"SDN",2015,"",0,0,0
"SEN",2015,"",0,0,0
"SLE",2015,"",0,0,0
"SLV",2015,"",0,0,0
"SOM",2015,"",0,0,0
"STP",2015,"",0,0,0
"SUR",2015,"",0,0,0
"TCD",2015,"Chad",1,1,1
"TGO",2015,"",0,0,0
"TUN",2015,"",0,0,0
"TZA",2015,"",0,0,0
"UGA",2015,"",0,0,0
"YEM",2015,"",0,0,0
"ZMB",2015,"",0,0,0
"AGO",2016,"Angola",1,1,1
"BDI",2016,"",0,0,0
"BEN",2016,"",0,0,0
"BFA",2016,"",0,0,0
"CAF",2016,"",0,0,0
"CIV",2016,"",0,0,0
"CMR",2016,"",0,0,0
"COD",2016,"",0,0,0
"COG",2016,"",0,0,0
"COM",2016,"",0,0,0
"CPV",2016,"",0,0,0
"DJI",2016,"",0,0,0
"EGY",2016,"Egypt",1,0,1
"ETH",2016,"",0,0,0
"GAB",2016,"",0,0,0
"GHA",2016,"",0,0,0
"GIN",2016,"",0,0,0
"GMB",2016,"",0,0,0
"GNB",2016,"",0,0,0
"GNQ",2016,"",0,0,0
"IRQ",2016,"",0,0,0
"JOR",2016,"",0,1,1
"KEN",2016,"",0,0,0
"LBR",2016,"",0,0,0
"LSO",2016,"",0,0,0
"MDG",2016,"",0,0,0
"MLI",2016,"",0,0,0
"MOZ",2016,"",0,0,0
"MRT",2016,"",0,0,0
"MWI",2016,"",0,0,0
"NER",2016,"",0,0,0
"NGA",2016,"",0,1,1
"RWA",2016,"",0,0,0
"SDN",2016,"",0,0,0
"SEN",2016,"Senegal",1,0,1
"SLE",2016,"",0,0,0
"SLV",2016,"",0,0,0
"SOM",2016,"",0,0,0
"STP",2016,"",0,0,0
"SUR",2016,"",0,0,0
"TCD",2016,"",0,1,1
"TGO",2016,"",0,0,0
"TUN",2016,"",0,0,0
"TZA",2016,"",0,0,0
"UGA",2016,"",0,0,0
"YEM",2016,"",0,0,0
"ZMB",2016,"",0,0,0
"AGO",2017,"",0,1,1
"BDI",2017,"",0,0,0
"BEN",2017,"",0,0,0
"BFA",2017,"",0,0,0
"CAF",2017,"",0,0,0
"CIV",2017,"",0,0,0
"CMR",2017,"",0,0,0
"COD",2017,"",0,0,0
"COG",2017,"",0,0,0
"COM",2017,"",0,0,0
"CPV",2017,"",0,0,0
"DJI",2017,"",0,0,0
"EGY",2017,"Egypt",1,1,1
"ETH",2017,"Ethiopia",1,0,1
"GAB",2017,"",0,0,0
"GHA",2017,"",0,0,0
"GIN",2017,"",0,0,0
"GMB",2017,"",0,0,0
"GNB",2017,"",0,0,0
"GNQ",2017,"",0,0,0
"IRQ",2017,"",0,0,0
"JOR",2017,"",0,0,0
"KEN",2017,"",0,0,0
"LBR",2017,"",0,0,0
"LSO",2017,"",0,0,0
"MDG",2017,"",0,0,0
"MLI",2017,"",0,0,0
"MOZ",2017,"",0,0,0
"MRT",2017,"",0,0,0
"MWI",2017,"",0,0,0
"NER",2017,"",0,0,0
"NGA",2017,"",0,0,0
"RWA",2017,"",0,0,0
"SDN",2017,"",0,0,0
"SEN",2017,"Senegal",1,1,1
"SLE",2017,"",0,0,0
"SLV",2017,"",0,0,0
"SOM",2017,"",0,0,0
"STP",2017,"",0,0,0
"SUR",2017,"",0,0,0
"TCD",2017,"",0,0,0
"TGO",2017,"",0,0,0
"TUN",2017,"",0,0,0
"TZA",2017,"",0,0,0
"UGA",2017,"",0,0,0
"YEM",2017,"",0,0,0
"ZMB",2017,"",0,0,0
"AGO",2018,"",0,0,0
"BDI",2018,"",0,0,0
"BEN",2018,"",0,0,0
"BFA",2018,"",0,0,0
"CAF",2018,"",0,0,0
"CIV",2018,"",0,0,0
"CMR",2018,"",0,0,0
"COD",2018,"",0,0,0
"COG",2018,"",0,0,0
"COM",2018,"",0,0,0
"CPV",2018,"",0,0,0
"DJI",2018,"",0,0,0
"EGY",2018,"",0,1,1
"ETH",2018,"Ethiopia",1,1,1
"GAB",2018,"",0,0,0
"GHA",2018,"",0,0,0
"GIN",2018,"",0,0,0
"GMB",2018,"",0,0,0
"GNB",2018,"",0,0,0
"GNQ",2018,"Equatorial Guinea",1,0,1
"IRQ",2018,"",0,0,0
"JOR",2018,"",0,0,0
"KEN",2018,"",0,0,0
"LBR",2018,"",0,0,0
"LSO",2018,"",0,0,0
"MDG",2018,"",0,0,0
"MLI",2018,"",0,0,0
"MOZ",2018,"",0,0,0
"MRT",2018,"",0,0,0
"MWI",2018,"",0,0,0
"NER",2018,"",0,0,0
"NGA",2018,"",0,0,0
"RWA",2018,"",0,0,0
"SDN",2018,"",0,0,0
"SEN",2018,"",0,1,1
"SLE",2018,"",0,0,0
"SLV",2018,"",0,0,0
"SOM",2018,"",0,0,0
"STP",2018,"",0,0,0
"SUR",2018,"",0,0,0
"TCD",2018,"",0,0,0
"TGO",2018,"",0,0,0
"TUN",2018,"",0,0,0
"TZA",2018,"",0,0,0
"UGA",2018,"",0,0,0
"YEM",2018,"",0,0,0
"ZMB",2018,"",0,0,0
"AGO",2019,"",0,0,0
"BDI",2019,"",0,0,0
"BEN",2019,"",0,0,0
"BFA",2019,"",0,0,0
"CAF",2019,"",0,0,0
"CIV",2019,"",0,0,0
"CMR",2019,"",0,0,0
"COD",2019,"",0,0,0
"COG",2019,"",0,0,0
"COM",2019,"",0,0,0
"CPV",2019,"",0,0,0
"DJI",2019,"",0,0,0
"EGY",2019,"",0,0,0
"ETH",2019,"",0,1,1
"GAB",2019,"",0,0,0
"GHA",2019,"",0,0,0
"GIN",2019,"",0,0,0
"GMB",2019,"",0,0,0
"GNB",2019,"",0,0,0
"GNQ",2019,"Equatorial Guinea",1,1,1
"IRQ",2019,"",0,0,0
"JOR",2019,"",0,0,0
"KEN",2019,"",0,0,0
"LBR",2019,"",0,0,0
"LSO",2019,"",0,0,0
"MDG",2019,"",0,0,0
"MLI",2019,"",0,0,0
"MOZ",2019,"",0,0,0
"MRT",2019,"",0,0,0
"MWI",2019,"",0,0,0
"NER",2019,"",0,0,0
"NGA",2019,"",0,0,0
"RWA",2019,"",0,0,0
"SDN",2019,"",0,0,0
"SEN",2019,"",0,0,0
"SLE",2019,"",0,0,0
"SLV",2019,"",0,0,0
"SOM",2019,"",0,0,0
"STP",2019,"",0,0,0
"SUR",2019,"",0,0,0
"TCD",2019,"",0,0,0
"TGO",2019,"",0,0,0
"TUN",2019,"",0,0,0
"TZA",2019,"",0,0,0
"UGA",2019,"",0,0,0
"YEM",2019,"",0,0,0
"ZMB",2019,"",0,0,0
"AGO",2020,"",0,0,0
"BDI",2020,"",0,0,0
"BEN",2020,"",0,0,0
"BFA",2020,"",0,0,0
"CAF",2020,"",0,0,0
"CIV",2020,"",0,0,0
"CMR",2020,"",0,0,0
"COD",2020,"",0,0,0
"COG",2020,"",0,0,0
"COM",2020,"",0,0,0
"CPV",2020,"",0,0,0
"DJI",2020,"",0,0,0
"EGY",2020,"",0,0,0
"ETH",2020,"",0,0,0
"GAB",2020,"",0,0,0
