id,year,security_council_member,last_update
457,1981,Uganda,2026-07-02
458,1981,United Kingdom of Great Britain and Northern Ireland,2026-07-02
459,1981,United States of America,2026-07-02
460,1981,USSR (Union of Soviet Socialist Republics),2026-07-02
461,1982,China,2026-07-02
462,1982,France,2026-07-02
463,1982,Guyana,2026-07-02
464,1982,Ireland,2026-07-02
465,1982,Japan,2026-07-02
466,1982,Jordan,2026-07-02
467,1982,Panama,2026-07-02
468,1982,Poland,2026-07-02
469,1982,Spain,2026-07-02
470,1982,Togo,2026-07-02
471,1982,Uganda,2026-07-02
472,1982,United Kingdom of Great Britain and Northern Ireland,2026-07-02
473,1982,United States of America,2026-07-02
474,1982,USSR (Union of Soviet Socialist Republics),2026-07-02
475,1982,Democratic Republic of the Congo,2026-07-02
476,1983,China,2026-07-02
477,1983,France,2026-07-02
478,1983,Guyana,2026-07-02
479,1983,Jordan,2026-07-02
480,1983,Malta,2026-07-02
481,1983,Netherlands,2026-07-02
482,1983,Nicaragua,2026-07-02
483,1983,Pakistan,2026-07-02
484,1983,Poland,2026-07-02
485,1983,Togo,2026-07-02
486,1983,United Kingdom of Great Britain and Northern Ireland,2026-07-02
487,1983,United States of America,2026-07-02
488,1983,USSR (Union of Soviet Socialist Republics),2026-07-02
489,1983,Democratic Republic of the Congo,2026-07-02
490,1983,Zimbabwe,2026-07-02
491,1984,Burkina Faso,2026-07-02
492,1984,China,2026-07-02
493,1984,Egypt,2026-07-02
494,1984,France,2026-07-02
495,1984,India,2026-07-02
496,1984,Malta,2026-07-02
497,1984,Netherlands,2026-07-02
498,1984,Nicaragua,2026-07-02
499,1984,Pakistan,2026-07-02
500,1984,Peru,2026-07-02
501,1984,Ukrainian SSR (Ukrainian Soviet Socialist Republic),2026-07-02
502,1984,United Kingdom of Great Britain and Northern Ireland,2026-07-02
503,1984,United States of America,2026-07-02
504,1984,USSR (Union of Soviet Socialist Republics),2026-07-02
505,1984,Zimbabwe,2026-07-02
506,1985,Australia,2026-07-02
507,1985,Burkina Faso,2026-07-02
508,1985,China,2026-07-02
509,1985,Denmark,2026-07-02
510,1985,Egypt,2026-07-02
511,1985,France,2026-07-02
512,1985,India,2026-07-02
513,1985,Madagascar,2026-07-02
514,1985,Peru,2026-07-02
515,1985,Thailand,2026-07-02
516,1985,Trinidad and Tobago,2026-07-02
517,1985,Ukrainian SSR (Ukrainian Soviet Socialist Republic),2026-07-02
518,1985,United Kingdom of Great Britain and Northern Ireland,2026-07-02
519,1985,United States of America,2026-07-02
520,1985,USSR (Union of Soviet Socialist Republics),2026-07-02
521,1986,Australia,2026-07-02
522,1986,Bulgaria,2026-07-02
523,1986,China,2026-07-02
524,1986,Congo,2026-07-02
525,1986,Denmark,2026-07-02
526,1986,France,2026-07-02
527,1986,Ghana,2026-07-02
528,1986,Madagascar,2026-07-02
529,1986,Thailand,2026-07-02
530,1986,Trinidad and Tobago,2026-07-02
531,1986,United Arab Emirates,2026-07-02
532,1986,United Kingdom of Great Britain and Northern Ireland,2026-07-02
533,1986,United States of America,2026-07-02
534,1986,USSR (Union of Soviet Socialist Republics),2026-07-02
535,1986,Venezuela (Bolivarian Republic of),2026-07-02
536,1987,Argentina,2026-07-02
537,1987,Bulgaria,2026-07-02
538,1987,China,2026-07-02
539,1987,Congo,2026-07-02
540,1987,France,2026-07-02
541,1987,German FR (German Federal Republic),2026-07-02
542,1987,Ghana,2026-07-02
543,1987,Italy,2026-07-02
544,1987,Japan,2026-07-02
545,1987,United Arab Emirates,2026-07-02
546,1987,United Kingdom of Great Britain and Northern Ireland,2026-07-02
547,1987,United States of America,2026-07-02
548,1987,USSR (Union of Soviet Socialist Republics),2026-07-02
549,1987,Venezuela (Bolivarian Republic of),2026-07-02
550,1987,Zambia,2026-07-02
551,1988,Algeria,2026-07-02
552,1988,Argentina,2026-07-02
553,1988,Brazil,2026-07-02
554,1988,China,2026-07-02
555,1988,France,2026-07-02
556,1988,German FR (German Federal Republic),2026-07-02
557,1988,Italy,2026-07-02
558,1988,Japan,2026-07-02
559,1988,Nepal,2026-07-02
560,1988,Senegal,2026-07-02
561,1988,United Kingdom of Great Britain and Northern Ireland,2026-07-02
562,1988,United States of America,2026-07-02
563,1988,USSR (Union of Soviet Socialist Republics),2026-07-02
564,1988,Yugoslavia,2026-07-02
565,1988,Zambia,2026-07-02
566,1989,Algeria,2026-07-02
567,1989,Brazil,2026-07-02
568,1989,Canada,2026-07-02
569,1989,China,2026-07-02
570,1989,Colombia,2026-07-02
571,1989,Ethiopia,2026-07-02
572,1989,Finland,2026-07-02
573,1989,France,2026-07-02
574,1989,Malaysia,2026-07-02
575,1989,Nepal,2026-07-02
576,1989,Senegal,2026-07-02
577,1989,United Kingdom of Great Britain and Northern Ireland,2026-07-02
578,1989,United States of America,2026-07-02
579,1989,USSR (Union of Soviet Socialist Republics),2026-07-02
580,1989,Yugoslavia,2026-07-02
581,1990,Canada,2026-07-02
582,1990,China,2026-07-02
583,1990,Colombia,2026-07-02
584,1990,,2026-07-02
585,1990,Cuba,2026-07-02
586,1990,Ethiopia,2026-07-02
587,1990,Finland,2026-07-02
588,1990,France,2026-07-02
589,1990,Malaysia,2026-07-02
590,1990,Romania,2026-07-02
591,1990,United Kingdom of Great Britain and Northern Ireland,2026-07-02
592,1990,United States of America,2026-07-02
593,1990,USSR (Union of Soviet Socialist Republics),2026-07-02
594,1990,Yemen,2026-07-02
595,1990,Democratic Republic of the Congo,2026-07-02
596,1991,Austria,2026-07-02
597,1991,Belgium,2026-07-02
598,1991,China,2026-07-02
599,1991,,2026-07-02
600,1991,Cuba,2026-07-02
601,1991,Ecuador,2026-07-02
602,1991,France,2026-07-02
603,1991,India,2026-07-02
604,1991,Romania,2026-07-02
605,1991,United Kingdom of Great Britain and Northern Ireland,2026-07-02
606,1991,United States of America,2026-07-02
607,1991,USSR (Union of Soviet Socialist Republics),2026-07-02
608,1991,Yemen,2026-07-02
609,1991,Democratic Republic of the Congo,2026-07-02
610,1991,Zimbabwe,2026-07-02
611,1992,Austria,2026-07-02
612,1992,Belgium,2026-07-02
613,1992,Cabo Verde,2026-07-02
614,1992,China,2026-07-02
615,1992,Ecuador,2026-07-02
616,1992,France,2026-07-02
617,1992,Hungary,2026-07-02
618,1992,India,2026-07-02
619,1992,Japan,2026-07-02
620,1992,Morocco,2026-07-02
