"ISO3","year","unsc","unsc_t1","unsc3"
"PAN",1948,0,0,0
"PRY",1948,0,0,0
"PER",1948,0,0,0
"PHL",1948,0,0,0
"POL",1948,0,1,1
"PRT",1948,0,0,0
"QAT",1948,0,0,0
"ROU",1948,0,0,0
"RUS",1948,0,0,0
"RWA",1948,0,0,0
"SEN",1948,0,0,0
"SLE",1948,0,0,0
"SGP",1948,0,0,0
"SVN",1948,0,0,0
"ZAF",1948,0,0,0
"ESP",1948,0,0,0
"LKA",1948,0,0,0
"SDN",1948,0,0,0
"SWE",1948,0,0,0
"CHE",1948,0,0,0
"SYR",1948,1,1,1
"THA",1948,0,0,0
"TGO",1948,0,0,0
"TTO",1948,0,0,0
"TUN",1948,0,0,0
"UGA",1948,0,0,0
"UKR",1948,0,0,0
"ARE",1948,0,0,0
"URY",1948,0,0,0
"VNM",1948,0,0,0
"ZMB",1948,0,0,0
"ZWE",1948,0,0,0
"ALB",1949,0,0,0
"DZA",1949,0,0,0
"AGO",1949,0,0,0
"ARG",1949,1,1,1
"AUS",1949,0,0,0
"AUT",1949,0,0,0
"AZE",1949,0,0,0
"BHR",1949,0,0,0
"BGD",1949,0,0,0
"BLR",1949,0,0,0
"BEL",1949,0,1,1
"BEN",1949,0,0,0
"BIH",1949,0,0,0
"BWA",1949,0,0,0
"BRA",1949,0,0,0
"BGR",1949,0,0,0
"BFA",1949,0,0,0
"BDI",1949,0,0,0
"CPV",1949,0,0,0
"CMR",1949,0,0,0
"CAN",1949,1,1,1
"TCD",1949,0,0,0
"CHL",1949,0,0,0
"CHN",1949,1,1,1
"COL",1949,0,1,1
"CRI",1949,0,0,0
"HRV",1949,0,0,0
"CUB",1949,1,0,1
"CZE",1949,0,0,0
"DNK",1949,0,0,0
"DJI",1949,0,0,0
"DOM",1949,0,0,0
"ECU",1949,0,0,0
"GNQ",1949,0,0,0
"EST",1949,0,0,0
"ETH",1949,0,0,0
"FIN",1949,0,0,0
"FRA",1949,1,1,1
"GAB",1949,0,0,0
"DEU",1949,0,0,0
